Row ID,Task,GUI Info for Filtering,GUI Info for Boosting,GUI Info for Query Expansion,GUI Info for Query Replacement,Number of Screens,Avg Best Ranks,Number of Identified Bugs,Number of identified buggy files,Hit@1,Hit@5,Hit@10,Number of hits@10,Avg Hit@10,Hit@15,Hit@20,Avg Hit@20,MRR,MAP,HIT@10 List
627,QueryReformulation,NO,NO,None,None,2,12.5,80,142,0.225,0.5625,0.725,58,0.5041666666666667,0.8,0.8375,0.63,0.3814129747110937,0.3415647772981277,"['2', '10', '18', '19', '44', '53', '117', '128', '130', '191', '209', '1202', '1205', '1214', '1215', '1224', '1299', '1399', '1430', '1441', '1445', '1481', '92', '158', '160', '162', '199', '200', '1198', '1228', '1389', '1425', '1446', '1563', '1568', '11', '55', '56', '227', '1213', '1428', '159', '193', '275', '1089', '1130', '71', '201', '1096', '1146', '1147', '1151', '1645', '110', '168', '1406', '1640', '1150']"
628,QueryReformulation,NO,NO,None,None,3,12.5,80,142,0.225,0.5625,0.725,58,0.5041666666666667,0.8,0.8375,0.63,0.3814129747110937,0.3415647772981277,"['2', '10', '18', '19', '44', '53', '117', '128', '130', '191', '209', '1202', '1205', '1214', '1215', '1224', '1299', '1399', '1430', '1441', '1445', '1481', '92', '158', '160', '162', '199', '200', '1198', '1228', '1389', '1425', '1446', '1563', '1568', '11', '55', '56', '227', '1213', '1428', '159', '193', '275', '1089', '1130', '71', '201', '1096', '1146', '1147', '1151', '1645', '110', '168', '1406', '1640', '1150']"
629,QueryReformulation,NO,NO,None,None,4,12.5,80,142,0.225,0.5625,0.725,58,0.5041666666666667,0.8,0.8375,0.63,0.3814129747110937,0.3415647772981277,"['2', '10', '18', '19', '44', '53', '117', '128', '130', '191', '209', '1202', '1205', '1214', '1215', '1224', '1299', '1399', '1430', '1441', '1445', '1481', '92', '158', '160', '162', '199', '200', '1198', '1228', '1389', '1425', '1446', '1563', '1568', '11', '55', '56', '227', '1213', '1428', '159', '193', '275', '1089', '1130', '71', '201', '1096', '1146', '1147', '1151', '1645', '110', '168', '1406', '1640', '1150']"
631,QueryReformulation,NO,NO,GUI_States,None,3,12.9375,80,142,0.2125,0.5625,0.725,58,0.5,0.775,0.8,0.615,0.374711365219203,0.3367153509844099,"['2', '10', '18', '19', '44', '53', '117', '128', '130', '135', '191', '1202', '1205', '1214', '1215', '1224', '1299', '1399', '1430', '1441', '1481', '92', '158', '160', '162', '199', '200', '1198', '1228', '1389', '1425', '1446', '1563', '1568', '11', '55', '56', '227', '1213', '1428', '159', '193', '275', '1089', '1130', '71', '201', '1096', '1146', '1147', '1151', '1223', '1645', '110', '168', '1406', '1640', '1150']"
632,QueryReformulation,NO,NO,GUI_States,None,4,12.9125,80,142,0.225,0.5625,0.725,58,0.5041666666666667,0.775,0.8125,0.62,0.3794738535478678,0.3380726854189248,"['2', '10', '18', '19', '44', '53', '117', '128', '130', '135', '191', '1202', '1205', '1214', '1215', '1224', '1299', '1399', '1430', '1441', '1481', '92', '158', '160', '162', '199', '200', '1198', '1228', '1389', '1425', '1446', '1563', '1568', '11', '55', '56', '227', '1213', '1428', '159', '193', '275', '1089', '1130', '71', '201', '1096', '1146', '1147', '1151', '1223', '1645', '110', '168', '1406', '1640', '1150']"
635,QueryReformulation,NO,NO,Interacted_GUI_Component_IDs,None,4,12.7375,80,142,0.2375,0.5875,0.725,58,0.5166666666666666,0.8,0.825,0.635,0.4037638033976846,0.3603826241067134,"['2', '10', '18', '19', '44', '53', '117', '128', '130', '191', '1202', '1205', '1214', '1215', '1224', '1299', '1399', '1430', '1441', '1445', '1481', '92', '158', '160', '162', '199', '200', '1198', '1228', '1389', '1425', '1446', '1563', '1568', '11', '55', '56', '227', '1213', '1428', '159', '193', '275', '1089', '1130', '71', '201', '1096', '1146', '1147', '1151', '1223', '1645', '110', '168', '1406', '1640', '1150']"
638,QueryReformulation,NO,NO,GUI_State_and_Interacted_GUI_Component_IDs,None,4,12.875,80,142,0.225,0.5875,0.725,58,0.5125000000000001,0.775,0.8125,0.625,0.3915671215216108,0.3479906202512715,"['2', '10', '18', '19', '44', '53', '117', '128', '130', '135', '191', '1202', '1205', '1214', '1215', '1224', '1299', '1399', '1430', '1441', '1481', '92', '158', '160', '162', '199', '200', '1198', '1228', '1389', '1425', '1446', '1563', '1568', '11', '55', '56', '227', '1213', '1428', '159', '193', '275', '1089', '1130', '71', '201', '1096', '1146', '1147', '1151', '1223', '1645', '110', '168', '1406', '1640', '1150']"
657,QueryReformulation,NO,NO,None,GUI_State_and_All_GUI_Component_IDs,2,19.6875,80,142,0.225,0.575,0.6875,55,0.4958333333333333,0.7625,0.825,0.615,0.3738441371624837,0.3287106982877052,"['2', '8', '18', '19', '53', '117', '128', '129', '130', '135', '1202', '1205', '1207', '1214', '1215', '1224', '1399', '1430', '1441', '1481', '76', '160', '162', '192', '199', '200', '1198', '1228', '1389', '1425', '1446', '1563', '1568', '11', '55', '1213', '1428', '159', '193', '275', '1089', '1130', '1402', '71', '201', '1641', '1096', '1146', '1147', '1151', '1223', '1645', '1406', '1640', '1150']"
9,Filtering,All_GUI_Component_IDs,NO,None,None,2,10.2125,80,129,0.2375,0.5875,0.7625,61,0.5291666666666667,0.825,0.8625,0.6549999999999999,0.401911587749595,0.352447163061747,"['2', '10', '18', '19', '44', '53', '117', '128', '130', '191', '209', '1073', '1202', '1205', '1214', '1215', '1224', '1299', '1399', '1430', '1441', '1445', '1481', '92', '158', '160', '162', '199', '200', '1198', '1228', '1389', '1425', '1446', '1563', '1568', '11', '55', '56', '227', '1213', '1428', '159', '193', '275', '1089', '1130', '71', '201', '1641', '1096', '1146', '1147', '1151', '1223', '1645', '110', '168', '1406', '1640', '1150']"
12,Filtering,GUI_State_and_All_GUI_Component_IDs,NO,None,None,2,10.2125,80,129,0.2375,0.5875,0.7625,61,0.5291666666666667,0.825,0.8625,0.6549999999999999,0.401911587749595,0.352447163061747,"['2', '10', '18', '19', '44', '53', '117', '128', '130', '191', '209', '1073', '1202', '1205', '1214', '1215', '1224', '1299', '1399', '1430', '1441', '1445', '1481', '92', '158', '160', '162', '199', '200', '1198', '1228', '1389', '1425', '1446', '1563', '1568', '11', '55', '56', '227', '1213', '1428', '159', '193', '275', '1089', '1130', '71', '201', '1641', '1096', '1146', '1147', '1151', '1223', '1645', '110', '168', '1406', '1640', '1150']"
