Row ID,Task,GUI Info for Filtering,GUI Info for Boosting,GUI Info for Query Expansion,GUI Info for Query Replacement,Number of Screens,Avg Best Ranks,Number of Identified Bugs,Number of identified buggy files,Hit@1,Hit@5,Hit@10,Number of hits@10,Avg Hit@10,Hit@15,Hit@20,Avg Hit@20,MRR,MAP,HIT@10 List
627,QueryReformulation,NO,NO,None,None,2,16.1375,80,142,0.1375,0.625,0.7,56,0.4875,0.75,0.7875,0.6,0.3339863470101941,0.3029366088561263,"['8', '18', '19', '53', '117', '128', '130', '135', '191', '209', '1202', '1205', '1207', '1214', '1215', '1224', '1299', '1399', '1430', '1441', '1481', '76', '158', '160', '192', '199', '200', '248', '1198', '1389', '1425', '1446', '1563', '1568', '11', '55', '56', '227', '1213', '1222', '1428', '159', '193', '275', '1089', '1130', '71', '201', '1641', '1146', '1147', '1151', '1223', '1645', '1640', '1150']"
628,QueryReformulation,NO,NO,None,None,3,16.1375,80,142,0.1375,0.625,0.7,56,0.4875,0.75,0.7875,0.6,0.3339863470101941,0.3029366088561263,"['8', '18', '19', '53', '117', '128', '130', '135', '191', '209', '1202', '1205', '1207', '1214', '1215', '1224', '1299', '1399', '1430', '1441', '1481', '76', '158', '160', '192', '199', '200', '248', '1198', '1389', '1425', '1446', '1563', '1568', '11', '55', '56', '227', '1213', '1222', '1428', '159', '193', '275', '1089', '1130', '71', '201', '1641', '1146', '1147', '1151', '1223', '1645', '1640', '1150']"
629,QueryReformulation,NO,NO,None,None,4,16.1375,80,142,0.1375,0.625,0.7,56,0.4875,0.75,0.7875,0.6,0.3339863470101941,0.3029366088561263,"['8', '18', '19', '53', '117', '128', '130', '135', '191', '209', '1202', '1205', '1207', '1214', '1215', '1224', '1299', '1399', '1430', '1441', '1481', '76', '158', '160', '192', '199', '200', '248', '1198', '1389', '1425', '1446', '1563', '1568', '11', '55', '56', '227', '1213', '1222', '1428', '159', '193', '275', '1089', '1130', '71', '201', '1641', '1146', '1147', '1151', '1223', '1645', '1640', '1150']"
639,QueryReformulation,NO,NO,All_GUI_Component_IDs,None,2,15.4125,80,142,0.175,0.675,0.8,64,0.55,0.8,0.8125,0.6525000000000001,0.3881868020074892,0.3443416981564975,"['8', '10', '18', '19', '53', '117', '128', '129', '130', '135', '191', '206', '209', '256', '1202', '1205', '1207', '1214', '1215', '1224', '1299', '1399', '1430', '1441', '1481', '76', '158', '160', '162', '192', '199', '200', '248', '1198', '1228', '1389', '1425', '1446', '1563', '1568', '11', '55', '56', '227', '1213', '1222', '1428', '159', '193', '275', '1089', '1130', '1402', '71', '201', '1641', '1096', '1146', '1147', '1151', '1223', '1645', '1640', '1150']"
658,QueryReformulation,NO,NO,None,GUI_State_and_All_GUI_Component_IDs,3,19.475,80,142,0.275,0.6625,0.7625,61,0.5666666666666667,0.775,0.8125,0.6575,0.4417863714056373,0.3706270764754428,"['2', '8', '10', '18', '19', '117', '128', '129', '130', '135', '191', '206', '256', '1202', '1205', '1207', '1214', '1215', '1224', '1399', '1430', '1441', '1481', '158', '160', '162', '192', '199', '200', '248', '1198', '1228', '1389', '1425', '1446', '1563', '1568', '11', '55', '56', '227', '1213', '1222', '1428', '84', '159', '193', '275', '1089', '1130', '1402', '201', '1641', '1096', '1146', '1147', '1151', '1223', '1645', '1640', '1150']"
9,Filtering,All_GUI_Component_IDs,NO,None,None,2,13.1125,80,129,0.15,0.6375,0.7,56,0.4958333333333333,0.7625,0.8,0.61,0.3436616783333234,0.303656541887682,"['8', '18', '19', '53', '117', '128', '130', '135', '191', '209', '1202', '1205', '1207', '1214', '1215', '1224', '1299', '1399', '1430', '1441', '1481', '76', '158', '160', '192', '199', '200', '248', '1198', '1389', '1425', '1446', '1563', '1568', '11', '55', '56', '227', '1213', '1222', '1428', '159', '193', '275', '1089', '1130', '71', '201', '1641', '1146', '1147', '1151', '1223', '1645', '1640', '1150']"
10,Filtering,All_GUI_Component_IDs,NO,None,None,3,13.275,80,130,0.15,0.6375,0.7,56,0.4958333333333333,0.7625,0.8,0.61,0.3472929401485488,0.3055489222017253,"['8', '18', '19', '53', '117', '128', '130', '135', '191', '209', '1202', '1205', '1207', '1214', '1215', '1224', '1299', '1399', '1430', '1441', '1481', '76', '158', '160', '192', '199', '200', '248', '1198', '1389', '1425', '1446', '1563', '1568', '11', '55', '56', '227', '1213', '1222', '1428', '159', '193', '275', '1089', '1130', '71', '201', '1641', '1146', '1147', '1151', '1223', '1645', '1640', '1150']"
11,Filtering,All_GUI_Component_IDs,NO,None,None,4,13.2875,80,130,0.15,0.6375,0.7,56,0.4958333333333333,0.7625,0.8,0.61,0.3472922281412578,0.3055451182042121,"['8', '18', '19', '53', '117', '128', '130', '135', '191', '209', '1202', '1205', '1207', '1214', '1215', '1224', '1299', '1399', '1430', '1441', '1481', '76', '158', '160', '192', '199', '200', '248', '1198', '1389', '1425', '1446', '1563', '1568', '11', '55', '56', '227', '1213', '1222', '1428', '159', '193', '275', '1089', '1130', '71', '201', '1641', '1146', '1147', '1151', '1223', '1645', '1640', '1150']"
12,Filtering,GUI_State_and_All_GUI_Component_IDs,NO,None,None,2,13.1375,80,129,0.15,0.6375,0.7,56,0.4958333333333333,0.7625,0.8,0.61,0.3436293528247916,0.30361876189,"['8', '18', '19', '53', '117', '128', '130', '135', '191', '209', '1202', '1205', '1207', '1214', '1215', '1224', '1299', '1399', '1430', '1441', '1481', '76', '158', '160', '192', '199', '200', '248', '1198', '1389', '1425', '1446', '1563', '1568', '11', '55', '56', '227', '1213', '1222', '1428', '159', '193', '275', '1089', '1130', '71', '201', '1641', '1146', '1147', '1151', '1223', '1645', '1640', '1150']"
13,Filtering,GUI_State_and_All_GUI_Component_IDs,NO,None,None,3,13.3,80,130,0.15,0.6375,0.7,56,0.4958333333333333,0.7625,0.8,0.61,0.347260614640017,0.3055111422040434,"['8', '18', '19', '53', '117', '128', '130', '135', '191', '209', '1202', '1205', '1207', '1214', '1215', '1224', '1299', '1399', '1430', '1441', '1481', '76', '158', '160', '192', '199', '200', '248', '1198', '1389', '1425', '1446', '1563', '1568', '11', '55', '56', '227', '1213', '1222', '1428', '159', '193', '275', '1089', '1130', '71', '201', '1641', '1146', '1147', '1151', '1223', '1645', '1640', '1150']"
