Bug Report ID,File,Rank
2,io.github.zwieback.familyfinance.business.chart.fragment.HorizontalBarChartFragment.java,11
2,io.github.zwieback.familyfinance.business.chart.fragment.PieChartFragment.java,15
8,de.koelle.christian.trickytripper.TrickyTripperActivity.java,10
10,me.zhanghai.android.files.ftpserver.FtpServerStatePreference.java,102
10,me.zhanghai.android.files.ftpserver.FtpServerReceiver.java,122
10,me.zhanghai.android.files.ftpserver.FtpServerService.java,378
18,es.usc.citius.servando.calendula.fragments.MedicineCreateOrEditFragment.java,2
18,es.usc.citius.servando.calendula.fragments.ScheduleTimetableFragment.java,15
18,es.usc.citius.servando.calendula.fragments.RoutineCreateOrEditFragment.java,46
19,de.westnordost.streetcomplete.quests.housenumber.AddHousenumberForm.java,1
44,it.feio.android.omninotes.utils.TagsHelper.java,74
53,net.gsantner.markor.ui.NewFileDialog.java,19
117,openfoodfacts.github.scrachx.openfood.views.product.nutrition.NutritionProductFragment.java,18
128,org.shadowice.flocke.andotp.Activities.SettingsActivity.java,6
128,org.shadowice.flocke.andotp.Activities.MainActivity.java,7
128,org.shadowice.flocke.andotp.Utilities.Settings.java,14
129,org.shadowice.flocke.andotp.Dialogs.ManualEntryDialog.java,1
130,org.shadowice.flocke.andotp.Activities.IntroScreenActivity.java,1
135,fr.free.nrw.commons.explore.categories.SearchCategoryFragment.java,14
135,fr.free.nrw.commons.category.SubCategoryListFragment.java,18
135,fr.free.nrw.commons.explore.categories.SearchCategoriesAdapterFactory.java,39
135,fr.free.nrw.commons.explore.categories.SearchCategoriesRenderer.java,41
191,ch.logixisland.anuto.view.game.TowerView.java,11
191,ch.logixisland.anuto.business.control.TowerInserter.java,28
206,org.gnucash.android.ui.settings.BookManagerFragment.java,6
209,org.gnucash.android.ui.util.widget.CalculatorEditText.java,13
256,org.gnucash.android.ui.account.AccountsListFragment.java,1
1073,org.mozilla.focus.browser.LocalizedContent.java,85
1202,swati4star.createpdf.activity.ImageEditor.java,1
1205,swati4star.createpdf.fragment.RemoveDuplicatePagesFragment.java,2
1205,swati4star.createpdf.fragment.MergeFilesFragment.java,3
1205,swati4star.createpdf.fragment.RemovePagesFragment.java,4
1205,swati4star.createpdf.fragment.PdfToImageFragment.java,5
1205,swati4star.createpdf.fragment.InvertPdfFragment.java,6
1205,swati4star.createpdf.fragment.SplitFilesFragment.java,7
1205,swati4star.createpdf.fragment.AddImagesFragment.java,12
1205,swati4star.createpdf.activity.MainActivity.java,13
1207,org.shadowice.flocke.andotp.View.ManualEntryDialog.java,1
1214,org.shadowice.flocke.andotp.Activities.IntroScreenActivity.java,1
1215,org.shadowice.flocke.andotp.Dialogs.ManualEntryDialog.java,1
1224,org.gnucash.android.ui.account.AccountFormFragment.java,1
1299,com.fieldbook.tracker.activities.ConfigActivity.java,9
1399,org.fossasia.phimpme.gallery.activities.SettingsActivity.java,1
1430,com.easyfitness.programs.ProgramPagerFragment.java,3
1430,com.easyfitness.programs.ProgramRunnerFragment.java,7
1441,com.cohenadair.anglerslog.locations.ManageFishingSpotFragment.java,5
1445,com.cohenadair.anglerslog.model.Logbook.java,65
1481,com.hexforhn.hex.StoryActivity.java,1
54,net.gsantner.markor.util.AppSettings.java,5
76,com.genonbeta.TrebleShot.adapter.FileListAdapter.java,3
76,com.genonbeta.TrebleShot.fragment.FileListFragment.java,35
92,com.vrem.wifianalyzer.vendor.model.VendorDB.java,47
158,com.ichi2.anki.AbstractFlashcardViewer.java,4
158,com.ichi2.themes.Themes.java,133
160,com.ichi2.anki.Reviewer.java,1
162,com.fsck.k9.activity.setup.AccountSetupBasics.java,1
192,net.gsantner.markor.activity.DocumentEditFragment.java,1
199,org.inaturalist.android.ObservationListActivity.java,8
200,org.inaturalist.android.ObservationListActivity.java,2
248,org.odk.collect.android.preferences.GeneralPreferencesFragment.java,123
1198,swati4star.createpdf.adapter.ViewFilesAdapter.java,3
1228,org.gnucash.android.ui.transaction.TransactionDetailActivity.java,10
1389,org.y20k.transistor.PlayerActivityFragment.java,5
1389,org.y20k.transistor.helpers.StationFetcher.java,6
1389,org.y20k.transistor.core.Station.java,16
1425,com.easyfitness.WeightFragment.java,6
1425,com.easyfitness.DAO.bodymeasures.DAOBodyMeasure.java,61
1446,com.cohenadair.anglerslog.locations.ManageLocationFragment.java,6
1563,io.lerk.lrkFM.activities.FileActivity.java,1
1568,io.lerk.lrkFM.adapter.FileArrayAdapter.java,1
11,com.droidheat.musicplayer.MusicDockFragment.java,2
11,com.droidheat.musicplayer.SplashActivity.java,3
11,com.droidheat.musicplayer.SongsManager.java,5
11,com.droidheat.musicplayer.MusicPlayback.java,6
11,com.droidheat.musicplayer.PlayActivity.java,7
11,com.droidheat.musicplayer.HomeFragment.java,8
11,com.droidheat.musicplayer.QueueFragment.java,25
55,com.fieldbook.tracker.traits.CategoricalTraitLayout.java,7
55,com.fieldbook.tracker.traits.MultiCatTraitLayout.java,14
56,com.fieldbook.tracker.traits.LabelPrintTraitLayout.java,4
227,org.gnucash.android.ui.transaction.TransactionFormFragment.java,1
227,org.gnucash.android.ui.transaction.SplitEditorFragment.java,6
227,org.gnucash.android.importer.GncXmlHandler.java,40
227,org.gnucash.android.db.adapter.AccountsDbAdapter.java,44
227,org.gnucash.android.model.Transaction.java,49
227,org.gnucash.android.receivers.TransactionRecorder.java,63
227,org.gnucash.android.model.Split.java,70
1213,org.shadowice.flocke.andotp.Preferences.CredentialsPreference.java,1
1213,org.shadowice.flocke.andotp.Dialogs.PasswordEntryDialog.java,3
1213,org.shadowice.flocke.andotp.Preferences.PasswordEncryptedPreference.java,4
1222,org.gnucash.android.model.Recurrence.java,18
1222,org.gnucash.android.ui.util.RecurrenceParser.java,36
1222,org.gnucash.android.db.adapter.RecurrenceDbAdapter.java,85
1428,com.easyfitness.bodymeasures.BodyPartDetailsFragment.java,1
1428,com.easyfitness.ValueEditorDialogbox.java,11
1428,com.easyfitness.fonte.FonteGraphFragment.java,19
1428,com.easyfitness.machines.MachineDetailsFragment.java,22
1428,com.easyfitness.DAO.bodymeasures.BodyPart.java,29
1428,com.easyfitness.machines.MachineFragment.java,32
1428,com.easyfitness.graph.DateGraph.java,44
1428,com.easyfitness.machines.MachineArrayFullAdapter.java,58
1428,com.easyfitness.DAO.bodymeasures.BodyPartExtensions.java,65
