Bug Report ID,File,Rank
2,io.github.zwieback.familyfinance.business.chart.fragment.PieChartFragment.java,6
2,io.github.zwieback.familyfinance.business.chart.fragment.HorizontalBarChartFragment.java,7
8,de.koelle.christian.trickytripper.TrickyTripperActivity.java,1
10,me.zhanghai.android.files.ftpserver.FtpServerStatePreference.java,3
10,me.zhanghai.android.files.ftpserver.FtpServerReceiver.java,7
10,me.zhanghai.android.files.ftpserver.FtpServerService.java,11
18,es.usc.citius.servando.calendula.fragments.RoutineCreateOrEditFragment.java,8
18,es.usc.citius.servando.calendula.fragments.MedicineCreateOrEditFragment.java,10
18,es.usc.citius.servando.calendula.fragments.ScheduleTimetableFragment.java,25
19,de.westnordost.streetcomplete.quests.housenumber.AddHousenumberForm.java,2
44,it.feio.android.omninotes.utils.TagsHelper.java,93
53,net.gsantner.markor.ui.NewFileDialog.java,28
117,openfoodfacts.github.scrachx.openfood.views.product.nutrition.NutritionProductFragment.java,9
128,org.shadowice.flocke.andotp.Activities.SettingsActivity.java,2
128,org.shadowice.flocke.andotp.Activities.MainActivity.java,9
128,org.shadowice.flocke.andotp.Utilities.Settings.java,22
129,org.shadowice.flocke.andotp.Dialogs.ManualEntryDialog.java,3
130,org.shadowice.flocke.andotp.Activities.IntroScreenActivity.java,1
135,fr.free.nrw.commons.category.SubCategoryListFragment.java,11
135,fr.free.nrw.commons.explore.categories.SearchCategoryFragment.java,12
191,ch.logixisland.anuto.view.game.TowerView.java,8
206,org.gnucash.android.ui.settings.BookManagerFragment.java,4
209,org.gnucash.android.ui.util.widget.CalculatorEditText.java,30
256,org.gnucash.android.ui.account.AccountsListFragment.java,19
1073,org.mozilla.focus.browser.LocalizedContent.java,105
1202,swati4star.createpdf.activity.ImageEditor.java,1
1205,swati4star.createpdf.activity.MainActivity.java,4
1205,swati4star.createpdf.fragment.MergeFilesFragment.java,5
1205,swati4star.createpdf.fragment.RemoveDuplicatePagesFragment.java,6
1205,swati4star.createpdf.fragment.InvertPdfFragment.java,7
1205,swati4star.createpdf.fragment.PdfToImageFragment.java,14
1205,swati4star.createpdf.fragment.RemovePagesFragment.java,15
1205,swati4star.createpdf.fragment.SplitFilesFragment.java,16
1205,swati4star.createpdf.fragment.AddImagesFragment.java,20
1207,org.shadowice.flocke.andotp.View.ManualEntryDialog.java,2
1224,org.gnucash.android.ui.account.AccountFormFragment.java,1
1299,com.fieldbook.tracker.activities.ConfigActivity.java,7
1399,org.fossasia.phimpme.gallery.activities.SettingsActivity.java,33
1430,com.easyfitness.programs.ProgramRunnerFragment.java,3
1441,com.cohenadair.anglerslog.locations.ManageFishingSpotFragment.java,28
1445,com.cohenadair.anglerslog.model.Logbook.java,62
1481,com.hexforhn.hex.StoryActivity.java,3
54,net.gsantner.markor.util.AppSettings.java,15
76,com.genonbeta.TrebleShot.fragment.FileListFragment.java,20
76,com.genonbeta.TrebleShot.adapter.FileListAdapter.java,113
92,com.vrem.wifianalyzer.vendor.model.VendorDB.java,77
158,com.ichi2.anki.AbstractFlashcardViewer.java,18
158,com.ichi2.themes.Themes.java,108
162,com.fsck.k9.activity.setup.AccountSetupBasics.java,1
192,net.gsantner.markor.activity.DocumentEditFragment.java,4
199,org.inaturalist.android.ObservationListActivity.java,1
200,org.inaturalist.android.ObservationListActivity.java,2
248,org.odk.collect.android.preferences.GeneralPreferencesFragment.java,3
1198,swati4star.createpdf.adapter.ViewFilesAdapter.java,4
1228,org.gnucash.android.ui.transaction.TransactionDetailActivity.java,2
1389,org.y20k.transistor.PlayerActivityFragment.java,4
1389,org.y20k.transistor.helpers.StationFetcher.java,11
1389,org.y20k.transistor.core.Station.java,15
