Bug Report ID,File,Rank
2,io.github.zwieback.familyfinance.business.chart.fragment.PieChartFragment.java,8
2,io.github.zwieback.familyfinance.business.chart.fragment.HorizontalBarChartFragment.java,10
8,de.koelle.christian.trickytripper.TrickyTripperActivity.java,1
10,me.zhanghai.android.files.ftpserver.FtpServerStatePreference.java,4
10,me.zhanghai.android.files.ftpserver.FtpServerReceiver.java,10
10,me.zhanghai.android.files.ftpserver.FtpServerService.java,12
18,es.usc.citius.servando.calendula.fragments.MedicineCreateOrEditFragment.java,3
18,es.usc.citius.servando.calendula.fragments.RoutineCreateOrEditFragment.java,10
18,es.usc.citius.servando.calendula.fragments.ScheduleTimetableFragment.java,34
19,de.westnordost.streetcomplete.quests.housenumber.AddHousenumberForm.java,1
44,it.feio.android.omninotes.utils.TagsHelper.java,86
53,net.gsantner.markor.ui.NewFileDialog.java,30
117,openfoodfacts.github.scrachx.openfood.views.product.nutrition.NutritionProductFragment.java,12
128,org.shadowice.flocke.andotp.Activities.SettingsActivity.java,2
128,org.shadowice.flocke.andotp.Activities.MainActivity.java,9
128,org.shadowice.flocke.andotp.Utilities.Settings.java,30
129,org.shadowice.flocke.andotp.Dialogs.ManualEntryDialog.java,1
130,org.shadowice.flocke.andotp.Activities.IntroScreenActivity.java,1
135,fr.free.nrw.commons.explore.categories.SearchCategoryFragment.java,12
135,fr.free.nrw.commons.category.SubCategoryListFragment.java,13
135,fr.free.nrw.commons.explore.categories.SearchCategoriesAdapterFactory.java,17
135,fr.free.nrw.commons.explore.categories.SearchCategoriesRenderer.java,41
191,ch.logixisland.anuto.business.control.TowerInserter.java,19
191,ch.logixisland.anuto.view.game.TowerView.java,64
206,org.gnucash.android.ui.settings.BookManagerFragment.java,3
209,org.gnucash.android.ui.util.widget.CalculatorEditText.java,12
256,org.gnucash.android.ui.account.AccountsListFragment.java,18
1073,org.mozilla.focus.browser.LocalizedContent.java,114
1202,swati4star.createpdf.activity.ImageEditor.java,1
1205,swati4star.createpdf.fragment.MergeFilesFragment.java,3
