Bug Report ID,File,Rank
2,bug-2/app/src/main/java/io/github/zwieback/familyfinance/business/chart/fragment/HorizontalBarChartFragment.java,6
2,bug-2/app/src/main/java/io/github/zwieback/familyfinance/business/chart/fragment/PieChartFragment.java,12
8,bug-8/app/src/main/java/de/koelle/christian/trickytripper/TrickyTripperActivity.java,11
10,bug-10/app/src/main/java/me/zhanghai/android/files/ftpserver/FtpServerStatePreference.java,173
10,bug-10/app/src/main/java/me/zhanghai/android/files/ftpserver/FtpServerReceiver.java,186
10,bug-10/app/src/main/java/me/zhanghai/android/files/ftpserver/FtpServerService.java,222
18,bug-18/Calendula/src/main/java/es/usc/citius/servando/calendula/fragments/MedicineCreateOrEditFragment.java,1
18,bug-18/Calendula/src/main/java/es/usc/citius/servando/calendula/fragments/ScheduleTimetableFragment.java,42
18,bug-18/Calendula/src/main/java/es/usc/citius/servando/calendula/fragments/RoutineCreateOrEditFragment.java,89
19,bug-19/app/src/main/java/de/westnordost/streetcomplete/quests/housenumber/AddHousenumberForm.java,1
44,bug-44/omniNotes/src/main/java/it/feio/android/omninotes/utils/TagsHelper.java,81
53,bug-53/app/src/main/java/net/gsantner/markor/ui/NewFileDialog.java,46
128,bug-128/app/src/main/java/org/shadowice/flocke/andotp/Utilities/Settings.java,17
128,bug-128/app/src/main/java/org/shadowice/flocke/andotp/Activities/MainActivity.java,22
128,bug-128/app/src/main/java/org/shadowice/flocke/andotp/Activities/SettingsActivity.java,30
129,bug-129/app/src/main/java/org/shadowice/flocke/andotp/Dialogs/ManualEntryDialog.java,12
130,bug-130/app/src/main/java/org/shadowice/flocke/andotp/Activities/IntroScreenActivity.java,14
135,bug-135/app/src/main/java/fr/free/nrw/commons/explore/categories/rchCategoryFragment.java,19
135,bug-135/app/src/main/java/fr/free/nrw/commons/category/SubCategoryListFragment.java,23
135,bug-135/app/src/main/java/fr/free/nrw/commons/explore/categories/rchCategoriesRenderer.java,174
135,bug-135/app/src/main/java/fr/free/nrw/commons/explore/categories/rchCategoriesAdapterFactory.java,179
206,bug-206/app/src/main/java/org/gnucash/android/ui/settings/BookManagerFragment.java,23
209,bug-209/app/src/main/java/org/gnucash/android/ui/util/widget/CalculatorEditText.java,36
256,bug-256/app/src/main/java/org/gnucash/android/ui/account/AccountsListFragment.java,59
1202,bug-1202/app/src/main/java/swati4star/createpdf/activity/ImageEditor.java,3
1205,bug-1205/app/src/main/java/swati4star/createpdf/fragment/SplitFilesFragment.java,1
1205,bug-1205/app/src/main/java/swati4star/createpdf/fragment/InvertPdfFragment.java,2
1205,bug-1205/app/src/main/java/swati4star/createpdf/fragment/RemoveDuplicatePagesFragment.java,9
1205,bug-1205/app/src/main/java/swati4star/createpdf/fragment/RemovePagesFragment.java,12
1205,bug-1205/app/src/main/java/swati4star/createpdf/fragment/MergeFilesFragment.java,15
1205,bug-1205/app/src/main/java/swati4star/createpdf/fragment/PdfToImageFragment.java,31
1205,bug-1205/app/src/main/java/swati4star/createpdf/activity/MainActivity.java,32
