Bug Report ID,File,Rank
2,bug-2/app/src/main/java/io/github/zwieback/familyfinance/business/chart/fragment/PieChartFragment.java,19
2,bug-2/app/src/main/java/io/github/zwieback/familyfinance/business/chart/fragment/HorizontalBarChartFragment.java,29
8,bug-8/app/src/main/java/de/koelle/christian/trickytripper/TrickyTripperActivity.java,10
10,bug-10/app/src/main/java/me/zhanghai/android/files/ftpserver/FtpServerReceiver.java,105
10,bug-10/app/src/main/java/me/zhanghai/android/files/ftpserver/FtpServerService.java,165
10,bug-10/app/src/main/java/me/zhanghai/android/files/ftpserver/FtpServerStatePreference.java,213
18,bug-18/Calendula/src/main/java/es/usc/citius/servando/calendula/fragments/MedicineCreateOrEditFragment.java,1
18,bug-18/Calendula/src/main/java/es/usc/citius/servando/calendula/fragments/ScheduleTimetableFragment.java,19
18,bug-18/Calendula/src/main/java/es/usc/citius/servando/calendula/fragments/RoutineCreateOrEditFragment.java,33
19,bug-19/app/src/main/java/de/westnordost/streetcomplete/quests/housenumber/AddHousenumberForm.java,1
44,bug-44/omniNotes/src/main/java/it/feio/android/omninotes/utils/TagsHelper.java,14
53,bug-53/app/src/main/java/net/gsantner/markor/ui/NewFileDialog.java,13
117,bug-117/app/src/main/java/openfoodfacts/github/scrachx/openfood/views/product/nutrition/NutritionProductFragment.java,26
128,bug-128/app/src/main/java/org/shadowice/flocke/andotp/Utilities/Settings.java,4
128,bug-128/app/src/main/java/org/shadowice/flocke/andotp/Activities/MainActivity.java,16
128,bug-128/app/src/main/java/org/shadowice/flocke/andotp/Activities/SettingsActivity.java,28
129,bug-129/app/src/main/java/org/shadowice/flocke/andotp/Dialogs/ManualEntryDialog.java,1
130,bug-130/app/src/main/java/org/shadowice/flocke/andotp/Activities/IntroScreenActivity.java,1
135,bug-135/app/src/main/java/fr/free/nrw/commons/category/SubCategoryListFragment.java,5
135,bug-135/app/src/main/java/fr/free/nrw/commons/explore/categories/rchCategoryFragment.java,6
191,bug-191/app/src/main/java/ch/logixisland/anuto/view/game/TowerView.java,3
206,bug-206/app/src/main/java/org/gnucash/android/ui/settings/BookManagerFragment.java,22
209,bug-209/app/src/main/java/org/gnucash/android/ui/util/widget/CalculatorEditText.java,64
256,bug-256/app/src/main/java/org/gnucash/android/ui/account/AccountsListFragment.java,3
1073,bug-1073/app/src/main/java/org/mozilla/focus/browser/LocalizedContent.java,6
1202,bug-1202/app/src/main/java/swati4star/createpdf/activity/ImageEditor.java,1
1205,bug-1205/app/src/main/java/swati4star/createpdf/fragment/MergeFilesFragment.java,2
1205,bug-1205/app/src/main/java/swati4star/createpdf/fragment/RemovePagesFragment.java,3
1205,bug-1205/app/src/main/java/swati4star/createpdf/fragment/AddImagesFragment.java,4
1205,bug-1205/app/src/main/java/swati4star/createpdf/fragment/RemoveDuplicatePagesFragment.java,6
1205,bug-1205/app/src/main/java/swati4star/createpdf/fragment/SplitFilesFragment.java,7
1205,bug-1205/app/src/main/java/swati4star/createpdf/fragment/InvertPdfFragment.java,8
1205,bug-1205/app/src/main/java/swati4star/createpdf/fragment/PdfToImageFragment.java,12
1205,bug-1205/app/src/main/java/swati4star/createpdf/activity/MainActivity.java,31
1207,bug-1207/app/src/main/java/org/shadowice/flocke/andotp/View/ManualEntryDialog.java,1
1214,bug-1214/app/src/main/java/org/shadowice/flocke/andotp/Activities/IntroScreenActivity.java,3
1215,bug-1215/app/src/main/java/org/shadowice/flocke/andotp/Dialogs/ManualEntryDialog.java,1
1224,bug-1224/app/src/main/java/org/gnucash/android/ui/account/AccountFormFragment.java,1
1299,bug-1299/app/src/main/java/com/fieldbook/tracker/activities/ConfigActivity.java,17
1399,bug-1399/app/src/main/java/org/fossasia/phimpme/gallery/activities/SettingsActivity.java,1
1430,bug-1430/app/src/main/java/com/easyfitness/programs/ProgramRunnerFragment.java,15
1441,bug-1441/android/app/src/main/java/com/cohenadair/anglerslog/locations/ManageFishingSpotFragment.java,6
1445,bug-1445/android/app/src/main/java/com/cohenadair/anglerslog/model/Logbook.java,16
1481,bug-1481/app/src/main/java/com/hexforhn/hex/StoryActivity.java,3
54,bug-54/app/src/main/java/net/gsantner/markor/util/AppSettings.java,16
76,bug-76/app/src/main/java/com/genonbeta/TrebleShot/adapter/FileListAdapter.java,2
76,bug-76/app/src/main/java/com/genonbeta/TrebleShot/fragment/FileListFragment.java,39
92,bug-92/app/src/main/java/com/vrem/wifianalyzer/vendor/model/VendorDB.java,40
158,bug-158/AnkiDroid/src/main/java/com/ichi2/anki/AbstractFlashcardViewer.java,5
158,bug-158/AnkiDroid/src/main/java/com/ichi2/themes/Themes.java,112
160,bug-160/AnkiDroid/src/main/java/com/ichi2/anki/Reviewer.java,1
162,bug-162/k9mail/src/main/java/com/fsck/k9/activity/setup/AccountSetupBasics.java,1
192,bug-192/app/src/main/java/net/gsantner/markor/activity/DocumentEditFragment.java,2
199,bug-199/iNaturalist/src/main/java/org/inaturalist/android/ObservationListActivity.java,24
200,bug-200/iNaturalist/src/main/java/org/inaturalist/android/ObservationListActivity.java,1
248,bug-248/collect_app/src/main/java/org/odk/collect/android/preferences/GeneralPreferencesFragment.java,79
1198,bug-1198/app/src/main/java/swati4star/createpdf/adapter/ViewFilesAdapter.java,1
1228,bug-1228/app/src/main/java/org/gnucash/android/ui/transaction/TransactionDetailActivity.java,21
1389,bug-1389/app/src/main/java/org/y20k/transistor/PlayerActivityFragment.java,3
1389,bug-1389/app/src/main/java/org/y20k/transistor/core/Station.java,8
1389,bug-1389/app/src/main/java/org/y20k/transistor/helpers/StationFetcher.java,9
1425,bug-1425/app/src/main/java/com/easyfitness/WeightFragment.java,7
1425,bug-1425/app/src/main/java/com/easyfitness/DAO/bodymeasures/DAOBodyMeasure.java,31
1446,bug-1446/AnglersLog/app/src/main/java/com/cohenadair/anglerslog/locations/ManageLocationFragment.java,5
1563,bug-1563/app/src/main/java/io/lerk/lrkFM/activities/FileActivity.java,1
1568,bug-1568/app/src/main/java/io/lerk/lrkFM/adapter/FileArrayAdapter.java,1
11,bug-11/app/src/main/java/com/droidheat/musicplayer/MusicDockFragment.java,1
11,bug-11/app/src/main/java/com/droidheat/musicplayer/PlayActivity.java,7
11,bug-11/app/src/main/java/com/droidheat/musicplayer/SongsManager.java,8
11,bug-11/app/src/main/java/com/droidheat/musicplayer/SplashActivity.java,11
11,bug-11/app/src/main/java/com/droidheat/musicplayer/MusicPlayback.java,15
11,bug-11/app/src/main/java/com/droidheat/musicplayer/HomeFragment.java,21
11,bug-11/app/src/main/java/com/droidheat/musicplayer/QueueFragment.java,25
55,bug-55/app/src/main/java/com/fieldbook/tracker/traits/CategoricalTraitLayout.java,5
55,bug-55/app/src/main/java/com/fieldbook/tracker/traits/MultiCatTraitLayout.java,20
56,bug-56/app/src/main/java/com/fieldbook/tracker/traits/LabelPrintTraitLayout.java,25
227,bug-227/app/src/main/java/org/gnucash/android/ui/transaction/TransactionFormFragment.java,1
227,bug-227/app/src/main/java/org/gnucash/android/ui/transaction/SplitEditorFragment.java,3
227,bug-227/app/src/main/java/org/gnucash/android/receivers/TransactionRecorder.java,21
227,bug-227/app/src/main/java/org/gnucash/android/model/Transaction.java,24
227,bug-227/app/src/main/java/org/gnucash/android/db/adapter/AccountsDbAdapter.java,31
1213,bug-1213/app/src/main/java/org/shadowice/flocke/andotp/Preferences/PasswordEncryptedPreference.java,1
1213,bug-1213/app/src/main/java/org/shadowice/flocke/andotp/Dialogs/PasswordEntryDialog.java,2
1213,bug-1213/app/src/main/java/org/shadowice/flocke/andotp/Preferences/CredentialsPreference.java,4
1222,bug-1222/app/src/main/java/org/gnucash/android/model/Recurrence.java,30
1222,bug-1222/app/src/main/java/org/gnucash/android/ui/util/RecurrenceParser.java,34
1428,bug-1428/app/src/main/java/com/easyfitness/bodymeasures/BodyPartDetailsFragment.java,1
1428,bug-1428/app/src/main/java/com/easyfitness/fonte/FonteGraphFragment.java,7
1428,bug-1428/app/src/main/java/com/easyfitness/machines/MachineDetailsFragment.java,11
1428,bug-1428/app/src/main/java/com/easyfitness/machines/MachineFragment.java,14
1428,bug-1428/app/src/main/java/com/easyfitness/machines/MachineArrayFullAdapter.java,16
1428,bug-1428/app/src/main/java/com/easyfitness/machines/MachineCursorAdapter.java,23
1428,bug-1428/app/src/main/java/com/easyfitness/ValueEditorDialogbox.java,41
1428,bug-1428/app/src/main/java/com/easyfitness/graph/DateGraph.java,43
1428,bug-1428/app/src/main/java/com/easyfitness/DAO/bodymeasures/BodyPart.java,45
84,bug-84/ultrasonic/src/main/java/org/moire/ultrasonic/util/Util.java,15
84,bug-84/ultrasonic/src/main/java/org/moire/ultrasonic/util/Constants.java,67
87,bug-87/ultrasonic/src/main/java/org/moire/ultrasonic/util/BackgroundTask.java,107
159,bug-159/AnkiDroid/src/main/java/com/ichi2/anki/CardBrowser.java,2
193,bug-193/mobile/src/main/java/com/alexstyl/specialdates/addevent/ui/BirthdayDatePicker.java,1
193,bug-193/mobile/src/main/java/com/alexstyl/specialdates/addevent/BirthdayPickerDialog.java,4
275,bug-275/app/src/main/java/com/beemdevelopment/aegis/ui/Dialogs.java,1
275,bug-275/app/src/main/java/com/beemdevelopment/aegis/ui/slides/CustomAuthenticatedSlide.java,2
