Approach,Config,#Not Retrieved Bugs (Top Buggy File),#Bugs (Top Buggy File) Improved,#Bugs (Top Buggy File) Deteriorated,#Bugs (Top Buggy File) Unchanged,#Bugs (Top Buggy File) Ranks (Out10 to In10),#Bugs (Top Buggy File) (In10 to Out10),#Bugs (Top Buggy File) Inside 10 Improved,#Bugs (Top Buggy File) Inside 10 Deteriorated,#Bugs (Top Buggy File) Inside 10 Unchanged,#Bugs (Top Buggy File) Outside 10 Improved,#Bugs (Top Buggy File) Outside 10 Deteriorated,#Bugs (Top Buggy File) Outside 10 Unchanged,Bug Ids Improved,Top Baseline Ranks(found),Top Best Config Ranks(found)
BugLocator,Filtering+Boosting#Filtering-All_GUI_Component_IDs#Boosting-GUI_States#Query_Expansion-All_GUI_Component_IDs#Query_Replacement-None#Screen-2.csv,1,30,28,21,11,1,15,20,21,4,7,0,"['53', '135', '206', '256', '54', '192', '159', '1402', '1223', '271', '1150']","[9, 3, 1, 3, 1, 15, 35, 8, 1, 9, 1, 15, 2, 19, 2, 30, 71, 1, 1, 16, 5, 19, 9, 2, 1, 1, 1, 19, 2, 24, 1, 6, 1, 1, 2, 23, 2, 6, 2, 1, 1, 2, 1, 1, 2, 6, 1, 3, 1, 5, 1, 1, 1, 6, 14, 15, 1, 1, 35, 1, 3, 22, 33, 1, 1, 1, 2, 1, 1, 1, 27, 1, 80, 63, 40, 3, 19, 6, 18]","[4, 1, 7, 1, 2, 49, 2, 2, 1, 5, 1, 2, 5, 2, 10, 6, 67, 1, 1, 11, 1, 17, 1, 2, 1, 3, 3, 37, 1, 5, 2, 6, 3, 2, 1, 1, 2, 2, 3, 3, 1, 6, 2, 4, 1, 10, 1, 5, 2, 5, 1, 33, 1, 6, 32, 4, 2, 1, 60, 1, 2, 1, 54, 4, 1, 1, 1, 1, 3, 1, 1, 1, 88, 62, 7, 2, 42, 5, 2]"
BugLocator,Filtering+Boosting#Filtering-All_GUI_Component_IDs#Boosting-GUI_States#Query_Expansion-All_GUI_Component_IDs#Query_Replacement-None#Screen-3.csv,1,30,32,17,11,1,16,23,17,3,8,0,"['53', '135', '206', '256', '54', '192', '159', '1402', '1223', '271', '1150']","[9, 3, 1, 3, 1, 15, 35, 8, 1, 9, 1, 15, 2, 19, 2, 30, 71, 1, 1, 16, 5, 19, 9, 2, 1, 1, 1, 19, 2, 24, 1, 6, 1, 1, 2, 23, 2, 6, 2, 1, 1, 2, 1, 1, 2, 6, 1, 3, 1, 5, 1, 1, 1, 6, 14, 15, 1, 1, 35, 1, 3, 22, 33, 1, 1, 1, 2, 1, 1, 1, 27, 1, 80, 63, 40, 3, 19, 6, 18]","[4, 1, 7, 1, 2, 49, 3, 2, 1, 5, 1, 3, 5, 3, 10, 5, 77, 1, 1, 11, 1, 17, 1, 2, 1, 3, 3, 42, 1, 5, 2, 11, 4, 2, 1, 1, 2, 2, 4, 3, 1, 7, 2, 4, 1, 10, 1, 5, 2, 1, 1, 10, 2, 6, 46, 4, 2, 1, 60, 1, 1, 1, 70, 4, 2, 1, 1, 1, 3, 1, 3, 1, 88, 62, 7, 2, 59, 5, 3]"
BugLocator,Filtering+Boosting#Filtering-All_GUI_Component_IDs#Boosting-GUI_States#Query_Expansion-All_GUI_Component_IDs#Query_Replacement-None#Screen-4.csv,1,28,33,18,11,1,15,24,17,2,8,1,"['53', '135', '206', '256', '54', '192', '159', '1402', '1223', '271', '1150']","[9, 3, 1, 3, 1, 15, 35, 8, 1, 9, 1, 15, 2, 19, 2, 30, 71, 1, 1, 16, 5, 19, 9, 2, 1, 1, 1, 19, 2, 24, 1, 6, 1, 1, 2, 23, 2, 6, 2, 1, 1, 2, 1, 1, 2, 6, 1, 3, 1, 5, 1, 1, 1, 6, 14, 15, 1, 1, 35, 1, 3, 22, 33, 1, 1, 1, 2, 1, 1, 1, 27, 1, 80, 63, 40, 3, 19, 6, 18]","[4, 1, 7, 1, 2, 49, 3, 3, 1, 5, 1, 3, 5, 3, 10, 1, 77, 1, 1, 11, 1, 17, 1, 2, 1, 3, 3, 42, 1, 5, 4, 11, 4, 2, 1, 1, 2, 2, 4, 3, 1, 7, 2, 4, 1, 10, 1, 6, 3, 1, 1, 10, 2, 6, 46, 4, 2, 1, 60, 1, 3, 2, 73, 4, 2, 1, 1, 1, 4, 2, 4, 1, 85, 63, 7, 2, 59, 5, 3]"
BugLocator,Filtering+Boosting#Filtering-GUI_State_and_All_GUI_Component_IDs#Boosting-GUI_States#Query_Expansion-All_GUI_Component_IDs#Query_Replacement-None#Screen-2.csv,1,30,28,21,11,1,15,20,21,4,7,0,"['53', '135', '206', '256', '54', '192', '159', '1402', '1223', '271', '1150']","[9, 3, 1, 3, 1, 15, 35, 8, 1, 9, 1, 15, 2, 19, 2, 30, 71, 1, 1, 16, 5, 19, 9, 2, 1, 1, 1, 19, 2, 24, 1, 6, 1, 1, 2, 23, 2, 6, 2, 1, 1, 2, 1, 1, 2, 6, 1, 3, 1, 5, 1, 1, 1, 6, 14, 15, 1, 1, 35, 1, 3, 22, 33, 1, 1, 1, 2, 1, 1, 1, 27, 1, 80, 63, 40, 3, 19, 6, 18]","[5, 1, 7, 1, 2, 49, 2, 2, 1, 5, 1, 2, 5, 2, 10, 6, 67, 1, 1, 11, 1, 17, 1, 2, 1, 3, 3, 37, 1, 6, 2, 6, 3, 2, 1, 1, 2, 2, 3, 3, 1, 6, 2, 4, 1, 10, 1, 5, 2, 5, 1, 33, 1, 6, 32, 4, 2, 1, 60, 1, 2, 1, 54, 4, 1, 1, 1, 1, 3, 1, 1, 1, 88, 62, 7, 2, 42, 5, 2]"
BugLocator,Filtering+Boosting#Filtering-GUI_State_and_All_GUI_Component_IDs#Boosting-GUI_States#Query_Expansion-All_GUI_Component_IDs#Query_Replacement-None#Screen-3.csv,1,30,32,17,11,1,16,23,17,3,8,0,"['53', '135', '206', '256', '54', '192', '159', '1402', '1223', '271', '1150']","[9, 3, 1, 3, 1, 15, 35, 8, 1, 9, 1, 15, 2, 19, 2, 30, 71, 1, 1, 16, 5, 19, 9, 2, 1, 1, 1, 19, 2, 24, 1, 6, 1, 1, 2, 23, 2, 6, 2, 1, 1, 2, 1, 1, 2, 6, 1, 3, 1, 5, 1, 1, 1, 6, 14, 15, 1, 1, 35, 1, 3, 22, 33, 1, 1, 1, 2, 1, 1, 1, 27, 1, 80, 63, 40, 3, 19, 6, 18]","[5, 1, 7, 1, 2, 49, 3, 2, 1, 5, 1, 3, 5, 3, 10, 5, 77, 1, 1, 11, 1, 17, 1, 2, 1, 3, 3, 42, 1, 6, 2, 11, 4, 2, 1, 1, 2, 2, 4, 3, 1, 7, 2, 4, 1, 10, 1, 5, 2, 1, 1, 10, 2, 6, 46, 4, 2, 1, 60, 1, 1, 1, 70, 4, 2, 1, 1, 1, 3, 1, 3, 1, 88, 62, 7, 2, 59, 5, 3]"
BugLocator,Filtering+Boosting#Filtering-GUI_State_and_All_GUI_Component_IDs#Boosting-GUI_States#Query_Expansion-All_GUI_Component_IDs#Query_Replacement-None#Screen-4.csv,1,28,33,18,11,1,15,24,17,2,8,1,"['53', '135', '206', '256', '54', '192', '159', '1402', '1223', '271', '1150']","[9, 3, 1, 3, 1, 15, 35, 8, 1, 9, 1, 15, 2, 19, 2, 30, 71, 1, 1, 16, 5, 19, 9, 2, 1, 1, 1, 19, 2, 24, 1, 6, 1, 1, 2, 23, 2, 6, 2, 1, 1, 2, 1, 1, 2, 6, 1, 3, 1, 5, 1, 1, 1, 6, 14, 15, 1, 1, 35, 1, 3, 22, 33, 1, 1, 1, 2, 1, 1, 1, 27, 1, 80, 63, 40, 3, 19, 6, 18]","[5, 1, 7, 1, 2, 49, 3, 3, 1, 5, 1, 3, 5, 3, 10, 1, 77, 1, 1, 11, 1, 17, 1, 2, 1, 2, 3, 42, 1, 6, 4, 11, 4, 2, 1, 1, 2, 2, 4, 3, 1, 7, 2, 4, 1, 10, 1, 6, 3, 1, 1, 10, 2, 6, 46, 4, 2, 1, 60, 1, 3, 2, 73, 4, 2, 1, 1, 1, 4, 2, 4, 1, 85, 63, 7, 2, 59, 5, 3]"
BugLocator,Filtering+Boosting#Filtering-All_GUI_Component_IDs#Boosting-GUI_States#Query_Expansion-GUI_State_and_All_GUI_Component_IDs#Query_Replacement-None#Screen-2.csv,1,29,28,22,11,1,15,20,21,3,7,1,"['53', '135', '206', '256', '54', '192', '159', '1402', '1223', '271', '1150']","[9, 3, 1, 3, 1, 15, 35, 8, 1, 9, 1, 15, 2, 19, 2, 30, 71, 1, 1, 16, 5, 19, 9, 2, 1, 1, 1, 19, 2, 24, 1, 6, 1, 1, 2, 23, 2, 6, 2, 1, 1, 2, 1, 1, 2, 6, 1, 3, 1, 5, 1, 1, 1, 6, 14, 15, 1, 1, 35, 1, 3, 22, 33, 1, 1, 1, 2, 1, 1, 1, 27, 1, 80, 63, 40, 3, 19, 6, 18]","[4, 1, 5, 1, 2, 49, 2, 2, 1, 4, 1, 2, 5, 2, 10, 6, 71, 1, 1, 11, 1, 17, 1, 2, 1, 3, 3, 41, 1, 5, 2, 6, 3, 2, 1, 1, 2, 2, 3, 3, 1, 6, 2, 4, 1, 10, 1, 5, 2, 5, 1, 37, 1, 6, 31, 4, 2, 1, 60, 1, 2, 1, 56, 4, 1, 1, 1, 1, 3, 1, 1, 1, 88, 62, 7, 2, 44, 5, 3]"
BugLocator,Filtering+Boosting#Filtering-All_GUI_Component_IDs#Boosting-GUI_States#Query_Expansion-GUI_State_and_All_GUI_Component_IDs#Query_Replacement-None#Screen-3.csv,1,30,32,17,11,1,16,23,17,3,8,0,"['53', '135', '206', '256', '54', '192', '159', '1402', '1223', '271', '1150']","[9, 3, 1, 3, 1, 15, 35, 8, 1, 9, 1, 15, 2, 19, 2, 30, 71, 1, 1, 16, 5, 19, 9, 2, 1, 1, 1, 19, 2, 24, 1, 6, 1, 1, 2, 23, 2, 6, 2, 1, 1, 2, 1, 1, 2, 6, 1, 3, 1, 5, 1, 1, 1, 6, 14, 15, 1, 1, 35, 1, 3, 22, 33, 1, 1, 1, 2, 1, 1, 1, 27, 1, 80, 63, 40, 3, 19, 6, 18]","[4, 1, 5, 1, 2, 49, 3, 2, 1, 4, 1, 3, 5, 3, 10, 5, 82, 1, 1, 11, 1, 17, 1, 2, 1, 3, 3, 44, 1, 5, 2, 11, 4, 2, 1, 1, 2, 2, 4, 3, 1, 6, 2, 4, 1, 10, 1, 5, 2, 1, 1, 10, 2, 6, 46, 4, 2, 1, 60, 1, 1, 1, 68, 4, 2, 1, 1, 1, 3, 1, 3, 1, 88, 62, 7, 2, 59, 5, 3]"
BugLocator,Filtering+Boosting#Filtering-All_GUI_Component_IDs#Boosting-GUI_States#Query_Expansion-GUI_State_and_All_GUI_Component_IDs#Query_Replacement-None#Screen-4.csv,1,28,33,18,11,1,15,24,17,2,8,1,"['53', '135', '206', '256', '54', '192', '159', '1402', '1223', '271', '1150']","[9, 3, 1, 3, 1, 15, 35, 8, 1, 9, 1, 15, 2, 19, 2, 30, 71, 1, 1, 16, 5, 19, 9, 2, 1, 1, 1, 19, 2, 24, 1, 6, 1, 1, 2, 23, 2, 6, 2, 1, 1, 2, 1, 1, 2, 6, 1, 3, 1, 5, 1, 1, 1, 6, 14, 15, 1, 1, 35, 1, 3, 22, 33, 1, 1, 1, 2, 1, 1, 1, 27, 1, 80, 63, 40, 3, 19, 6, 18]","[4, 1, 6, 1, 2, 49, 3, 3, 1, 4, 1, 3, 5, 3, 10, 1, 82, 1, 1, 11, 1, 17, 1, 2, 1, 3, 3, 44, 1, 5, 4, 11, 4, 2, 1, 1, 2, 2, 4, 3, 1, 6, 2, 4, 1, 10, 1, 6, 3, 1, 1, 10, 2, 6, 46, 4, 2, 1, 60, 1, 3, 2, 70, 4, 2, 1, 1, 1, 4, 2, 4, 1, 86, 63, 7, 2, 59, 5, 3]"
BugLocator,Filtering+Boosting#Filtering-GUI_State_and_All_GUI_Component_IDs#Boosting-GUI_States#Query_Expansion-GUI_State_and_All_GUI_Component_IDs#Query_Replacement-None#Screen-2.csv,1,29,28,22,11,1,15,20,21,3,7,1,"['53', '135', '206', '256', '54', '192', '159', '1402', '1223', '271', '1150']","[9, 3, 1, 3, 1, 15, 35, 8, 1, 9, 1, 15, 2, 19, 2, 30, 71, 1, 1, 16, 5, 19, 9, 2, 1, 1, 1, 19, 2, 24, 1, 6, 1, 1, 2, 23, 2, 6, 2, 1, 1, 2, 1, 1, 2, 6, 1, 3, 1, 5, 1, 1, 1, 6, 14, 15, 1, 1, 35, 1, 3, 22, 33, 1, 1, 1, 2, 1, 1, 1, 27, 1, 80, 63, 40, 3, 19, 6, 18]","[5, 1, 5, 1, 2, 49, 2, 2, 1, 4, 1, 2, 5, 2, 10, 6, 71, 1, 1, 11, 1, 17, 1, 2, 1, 3, 3, 41, 1, 6, 2, 6, 3, 2, 1, 1, 2, 2, 3, 3, 1, 6, 2, 4, 1, 10, 1, 5, 2, 5, 1, 37, 1, 6, 31, 4, 2, 1, 60, 1, 2, 1, 56, 4, 1, 1, 1, 1, 3, 1, 1, 1, 88, 62, 7, 2, 44, 5, 3]"
