Bug Report ID,Ranks-unsorted,Ranks,Files
2,"[3, 5]","[3, 5]","['io.github.zwieback.familyfinance.business.chart.fragment.PieChartFragment.java', 'io.github.zwieback.familyfinance.business.chart.fragment.HorizontalBarChartFragment.java']"
8,[1],[1],['de.koelle.christian.trickytripper.TrickyTripperActivity.java']
10,"[4, 9, 22]","[4, 9, 22]","['me.zhanghai.android.files.ftpserver.FtpServerStatePreference.java', 'me.zhanghai.android.files.ftpserver.FtpServerReceiver.java', 'me.zhanghai.android.files.ftpserver.FtpServerService.java']"
18,"[1, 11, 17]","[1, 11, 17]","['es.usc.citius.servando.calendula.fragments.MedicineCreateOrEditFragment.java', 'es.usc.citius.servando.calendula.fragments.ScheduleTimetableFragment.java', 'es.usc.citius.servando.calendula.fragments.RoutineCreateOrEditFragment.java']"
19,[2],[2],['de.westnordost.streetcomplete.quests.housenumber.AddHousenumberForm.java']
44,[48],[48],['it.feio.android.omninotes.utils.TagsHelper.java']
53,[31],[31],['net.gsantner.markor.ui.NewFileDialog.java']
117,[18],[18],['openfoodfacts.github.scrachx.openfood.views.product.nutrition.NutritionProductFragment.java']
128,"[2, 3, 6]","[2, 3, 6]","['org.shadowice.flocke.andotp.Activities.SettingsActivity.java', 'org.shadowice.flocke.andotp.Utilities.Settings.java', 'org.shadowice.flocke.andotp.Activities.MainActivity.java']"
129,[6],[6],['org.shadowice.flocke.andotp.Dialogs.ManualEntryDialog.java']
130,[1],[1],['org.shadowice.flocke.andotp.Activities.IntroScreenActivity.java']
135,"[15, 16, 134, 136]","[15, 16, 134, 136]","['fr.free.nrw.commons.category.SubCategoryListFragment.java', 'fr.free.nrw.commons.explore.categories.SearchCategoryFragment.java', 'fr.free.nrw.commons.explore.categories.SearchCategoriesRenderer.java', 'fr.free.nrw.commons.explore.categories.SearchCategoriesAdapterFactory.java']"
191,"[5, 32]","[5, 32]","['ch.logixisland.anuto.view.game.TowerView.java', 'ch.logixisland.anuto.business.control.TowerInserter.java']"
206,[8],[8],['org.gnucash.android.ui.settings.BookManagerFragment.java']
209,[10],[10],['org.gnucash.android.ui.util.widget.CalculatorEditText.java']
256,[4],[4],['org.gnucash.android.ui.account.AccountsListFragment.java']
1073,[77],[77],['org.mozilla.focus.browser.LocalizedContent.java']
