Bug Report ID,Ranks-unsorted,Ranks,Files
2,"[6, 9]","[6, 9]","['io.github.zwieback.familyfinance.business.chart.fragment.HorizontalBarChartFragment.java', 'io.github.zwieback.familyfinance.business.chart.fragment.PieChartFragment.java']"
8,[1],[1],['de.koelle.christian.trickytripper.TrickyTripperActivity.java']
10,"[69, 95, 216]","[69, 95, 216]","['me.zhanghai.android.files.ftpserver.FtpServerStatePreference.java', 'me.zhanghai.android.files.ftpserver.FtpServerReceiver.java', 'me.zhanghai.android.files.ftpserver.FtpServerService.java']"
18,"[1, 16, 50]","[1, 16, 50]","['es.usc.citius.servando.calendula.fragments.MedicineCreateOrEditFragment.java', 'es.usc.citius.servando.calendula.fragments.ScheduleTimetableFragment.java', 'es.usc.citius.servando.calendula.fragments.RoutineCreateOrEditFragment.java']"
19,[2],[2],['de.westnordost.streetcomplete.quests.housenumber.AddHousenumberForm.java']
44,[63],[63],['it.feio.android.omninotes.utils.TagsHelper.java']
53,[4],[4],['net.gsantner.markor.ui.NewFileDialog.java']
117,[3],[3],['openfoodfacts.github.scrachx.openfood.views.product.nutrition.NutritionProductFragment.java']
128,"[1, 7, 13]","[1, 7, 13]","['org.shadowice.flocke.andotp.Activities.SettingsActivity.java', 'org.shadowice.flocke.andotp.Activities.MainActivity.java', 'org.shadowice.flocke.andotp.Utilities.Settings.java']"
129,[2],[2],['org.shadowice.flocke.andotp.Dialogs.ManualEntryDialog.java']
130,[1],[1],['org.shadowice.flocke.andotp.Activities.IntroScreenActivity.java']
135,"[3, 13]","[3, 13]","['fr.free.nrw.commons.category.SubCategoryListFragment.java', 'fr.free.nrw.commons.explore.categories.SearchCategoryFragment.java']"
191,[5],[5],['ch.logixisland.anuto.view.game.TowerView.java']
206,[2],[2],['org.gnucash.android.ui.settings.BookManagerFragment.java']
209,[15],[15],['org.gnucash.android.ui.util.widget.CalculatorEditText.java']
256,[1],[1],['org.gnucash.android.ui.account.AccountsListFragment.java']
1073,[73],[73],['org.mozilla.focus.browser.LocalizedContent.java']
1202,[1],[1],['swati4star.createpdf.activity.ImageEditor.java']
