Bug Report ID,Ranks-unsorted,Ranks,Files
2,[],[],[]
8,[],[],[]
10,[],[],[]
18,[1],[1],['bug-18/Calendula/src/main/java/es/usc/citius/servando/calendula/fragments/MedicineCreateOrEditFragment.java']
19,[1],[1],['bug-19/app/src/main/java/de/westnordost/streetcomplete/quests/housenumber/AddHousenumberForm.java']
44,[],[],[]
53,[],[],[]
117,[],[],[]
128,[],[],[]
129,[],[],[]
130,[],[],[]
135,[],[],[]
191,[],[],[]
206,[7],[7],['bug-206/app/src/main/java/org/gnucash/android/ui/settings/BookManagerFragment.java']
209,[],[],[]
256,[9],[9],['bug-256/app/src/main/java/org/gnucash/android/ui/account/AccountsListFragment.java']
1073,[],[],[]
1202,[1],[1],['bug-1202/app/src/main/java/swati4star/createpdf/activity/ImageEditor.java']
1205,[],[],[]
1207,[],[],[]
1214,[],[],[]
1215,[],[],[]
1224,[1],[1],['bug-1224/app/src/main/java/org/gnucash/android/ui/account/AccountFormFragment.java']
1299,[],[],[]
1399,[1],[1],['bug-1399/app/src/main/java/org/fossasia/phimpme/gallery/activities/SettingsActivity.java']
1430,[],[],[]
1441,[],[],[]
1445,[],[],[]
1481,[],[],[]
54,[],[],[]
76,[],[],[]
92,[],[],[]
158,[],[],[]
160,[],[],[]
162,[1],[1],['bug-162/k9mail/src/main/java/com/fsck/k9/activity/setup/AccountSetupBasics.java']
192,[],[],[]
199,[],[],[]
200,[],[],[]
248,[],[],[]
1198,[],[],[]
1228,[],[],[]
1389,[],[],[]
1425,[],[],[]
1446,[],[],[]
1563,[2],[2],['bug-1563/app/src/main/java/io/lerk/lrkFM/activities/FileActivity.java']
1568,[1],[1],['bug-1568/app/src/main/java/io/lerk/lrkFM/adapter/FileArrayAdapter.java']
11,[],[],[]
55,[],[],[]
56,[],[],[]
227,[],[],[]
1213,[],[],[]
1222,[],[],[]
1428,[1],[1],['bug-1428/app/src/main/java/com/easyfitness/bodymeasures/BodyPartDetailsFragment.java']
84,[],[],[]
87,[],[],[]
159,[1],[1],['bug-159/AnkiDroid/src/main/java/com/ichi2/anki/CardBrowser.java']
193,[],[],[]
275,[],[],[]
1028,[],[],[]
1089,[],[],[]
1130,[4],[4],['bug-1130/app/src/main/java/de/danoeh/antennapod/fragment/QueueFragment.java']
1402,[],[],[]
1403,[],[],[]
71,[],[],[]
201,[1],[1],['bug-201/iNaturalist/src/main/java/org/inaturalist/android/ObservationListActivity.java']
1641,[],[],[]
1096,[],[],[]
1146,[],[],[]
1147,[],[],[]
1151,[],[],[]
1223,[2],[2],['bug-1223/app/src/main/java/org/gnucash/android/ui/transaction/TransactionFormFragment.java']
1645,[],[],[]
106,[58],[58],['bug-106/app/src/main/java/com/poupa/vinylmusicplayer/loader/SongLoader.java']
110,[],[],[]
168,[2],[2],['bug-168/main/src/cgeo/geocaching/maps/MapProviderFactory.java']
271,[],[],[]
1406,[1],[1],['bug-1406/app/src/main/java/org/fossasia/phimpme/gallery/activities/SingleMediaActivity.java']
45,[],[],[]
1640,[],[],[]
1150,[],[],[]
