"Bug_Id","Query_Reformulation_Type","Number_Of_Retrieved_Files"
"2","original-bug-report","412"
"2","replaced-query","129"
"2","query-expansion-1","412"
"8","original-bug-report","240"
"8","replaced-query","68"
"8","query-expansion-1","240"
"10","original-bug-report","429"
"10","replaced-query","428"
"10","query-expansion-1","429"
"11","original-bug-report","52"
"11","replaced-query","31"
"11","query-expansion-1","52"
"18","original-bug-report","225"
"18","replaced-query","170"
"18","query-expansion-1","225"
"19","original-bug-report","374"
"19","replaced-query","224"
"19","query-expansion-1","374"
"44","original-bug-report","166"
"44","replaced-query","165"
"44","query-expansion-1","166"
"45","original-bug-report","192"
"45","replaced-query","190"
"45","query-expansion-1","192"
"53","original-bug-report","121"
"53","replaced-query","113"
"53","query-expansion-1","121"
"54","original-bug-report","88"
"54","replaced-query","48"
"54","query-expansion-1","88"
"55","original-bug-report","80"
"55","query-expansion-1","80"
"56","original-bug-report","82"
"56","replaced-query","41"
"56","query-expansion-1","82"
"71","original-bug-report","128"
"71","replaced-query","53"
"71","query-expansion-1","128"
"76","original-bug-report","156"
"76","replaced-query","80"
"76","query-expansion-1","156"
"84","original-bug-report","145"
"84","replaced-query","63"
"84","query-expansion-1","145"
"87","original-bug-report","145"
"87","replaced-query","63"
"87","query-expansion-1","145"
"92","original-bug-report","275"
"92","replaced-query","114"
"92","query-expansion-1","275"
"106","original-bug-report","204"
"106","replaced-query","92"
"106","query-expansion-1","206"
"110","original-bug-report","214"
"110","query-expansion-1","214"
"117","original-bug-report","194"
"117","replaced-query","148"
"117","query-expansion-1","200"
"128","original-bug-report","50"
"128","replaced-query","27"
"128","query-expansion-1","50"
"129","original-bug-report","49"
"129","replaced-query","18"
"129","query-expansion-1","49"
"130","original-bug-report","48"
"130","replaced-query","17"
"130","query-expansion-1","48"
"135","original-bug-report","228"
"135","replaced-query","172"
"135","query-expansion-1","230"
"158","original-bug-report","263"
"158","replaced-query","122"
"158","query-expansion-1","266"
"159","original-bug-report","353"
"159","replaced-query","264"
"159","query-expansion-1","353"
"160","original-bug-report","330"
"160","query-expansion-1","330"
"162","original-bug-report","610"
"162","replaced-query","247"
"162","query-expansion-1","610"
"168","original-bug-report","785"
"168","query-expansion-1","785"
"191","original-bug-report","100"
"191","replaced-query","65"
"191","query-expansion-1","100"
"192","original-bug-report","92"
"192","replaced-query","44"
"192","query-expansion-1","92"
"193","original-bug-report","265"
"193","replaced-query","154"
"193","query-expansion-1","273"
"199","original-bug-report","118"
"199","replaced-query","90"
"199","query-expansion-1","133"
"200","original-bug-report","126"
"200","replaced-query","77"
"200","query-expansion-1","128"
"201","original-bug-report","135"
"201","replaced-query","84"
"201","query-expansion-1","135"
"206","original-bug-report","172"
"206","replaced-query","129"
"206","query-expansion-1","172"
"209","original-bug-report","179"
"209","replaced-query","127"
"209","query-expansion-1","179"
"227","original-bug-report","179"
"227","replaced-query","144"
"227","query-expansion-1","179"
"248","original-bug-report","523"
"248","replaced-query","201"
"248","query-expansion-1","523"
"256","original-bug-report","172"
"256","replaced-query","139"
"256","query-expansion-1","172"
"271","original-bug-report","121"
"271","query-expansion-1","121"
"275","original-bug-report","100"
"275","query-expansion-1","100"
"1028","original-bug-report","244"
"1028","replaced-query","152"
"1028","query-expansion-1","250"
"1073","original-bug-report","149"
"1073","replaced-query","92"
"1073","query-expansion-1","149"
"1089","original-bug-report","33"
"1089","replaced-query","33"
"1089","query-expansion-1","33"
"1096","original-bug-report","195"
"1096","replaced-query","146"
"1096","query-expansion-1","195"
"1130","original-bug-report","349"
"1130","replaced-query","149"
"1130","query-expansion-1","350"
"1146","original-bug-report","48"
"1146","replaced-query","35"
"1146","query-expansion-1","48"
"1147","original-bug-report","19"
"1147","replaced-query","15"
"1147","query-expansion-1","19"
"1150","original-bug-report","46"
"1150","replaced-query","28"
"1150","query-expansion-1","46"
"1151","original-bug-report","19"
"1151","replaced-query","15"
"1151","query-expansion-1","19"
"1198","original-bug-report","5"
"1198","replaced-query","5"
"1198","query-expansion-1","5"
"1202","original-bug-report","47"
"1202","replaced-query","30"
"1202","query-expansion-1","47"
"1205","original-bug-report","83"
"1205","replaced-query","54"
"1205","query-expansion-1","85"
"1207","original-bug-report","36"
"1207","replaced-query","14"
"1207","query-expansion-1","36"
"1213","original-bug-report","50"
"1213","query-expansion-1","50"
"1214","original-bug-report","50"
"1214","query-expansion-1","50"
"1215","original-bug-report","50"
"1215","query-expansion-1","50"
"1222","original-bug-report","170"
"1222","replaced-query","139"
"1222","query-expansion-1","170"
"1223","original-bug-report","179"
"1223","replaced-query","147"
"1223","query-expansion-1","179"
"1224","original-bug-report","172"
"1224","replaced-query","141"
"1224","query-expansion-1","172"
"1228","original-bug-report","179"
"1228","replaced-query","131"
"1228","query-expansion-1","179"
"1299","original-bug-report","86"
"1299","replaced-query","41"
"1299","query-expansion-1","86"
"1389","original-bug-report","19"
"1389","replaced-query","19"
"1389","query-expansion-1","19"
"1399","original-bug-report","160"
"1399","replaced-query","91"
"1399","query-expansion-1","172"
"1402","original-bug-report","158"
"1402","replaced-query","141"
"1402","query-expansion-1","170"
"1403","original-bug-report","144"
"1403","replaced-query","138"
"1403","query-expansion-1","164"
"1406","original-bug-report","158"
"1406","replaced-query","158"
"1406","query-expansion-1","173"
"1425","original-bug-report","99"
"1425","replaced-query","39"
"1425","query-expansion-1","99"
"1428","original-bug-report","94"
"1428","replaced-query","70"
"1428","query-expansion-1","94"
"1430","original-bug-report","99"
"1430","replaced-query","68"
"1430","query-expansion-1","99"
"1441","original-bug-report","134"
"1441","replaced-query","89"
"1441","query-expansion-1","134"
"1445","original-bug-report","94"
"1445","replaced-query","66"
"1445","query-expansion-1","99"
"1446","original-bug-report","133"
"1446","replaced-query","66"
"1446","query-expansion-1","133"
"1481","original-bug-report","21"
"1481","replaced-query","21"
"1481","query-expansion-1","24"
"1563","original-bug-report","34"
"1563","replaced-query","26"
"1563","query-expansion-1","34"
"1568","original-bug-report","51"
"1568","query-expansion-1","51"
"1640","original-bug-report","19"
"1640","query-expansion-1","19"
"1641","original-bug-report","37"
"1641","query-expansion-1","37"
"1645","original-bug-report","20"
"1645","query-expansion-1","20"
