Bug Report ID,#Files (.java),Ranks,Ranked Buggy Files,Ranks (Unsorted)
1096,144,[],[],[]
1146,32,[],[],[]
1147,12,[],[],[]
1151,11,[],[],[]
1223,87,[],[],[]
1645,10,[3],['bug-1645/app/src/main/java/com/german_software_engineers/trainerapp/ExerciseDialog.java'],[3]
106,104,[56],['bug-106/app/src/main/java/com/poupa/vinylmusicplayer/util/FileUtil.java'],[56]
110,177,[],[],[]
168,179,[],[],[]
271,50,[47],['bug-271/app/src/main/java/com/beemdevelopment/aegis/ui/views/TotpProgressBar.java'],[47]
