Bug Report ID,#Files (.java),Ranks,Ranked Buggy Files,Ranks (Unsorted)
1096,194,[],[],[]
1146,46,[],[],[]
1147,17,[9],['bug-1147/GPSTest/src/main/java/com/android/gpstest/NavigationDrawerFragment.java'],[9]
1151,18,[5],['bug-1151/GPSTest/src/main/java/com/android/gpstest/GpsTestActivity.java'],[5]
1223,175,[],[],[]
1645,21,[4],['bug-1645/app/src/main/java/com/german_software_engineers/trainerapp/ExerciseDialog.java'],[4]
106,143,[97],['bug-106/app/src/main/java/com/poupa/vinylmusicplayer/util/FileUtil.java'],[97]
110,221,[],[],[]
168,600,[],[],[]
271,120,[108],['bug-271/app/src/main/java/com/beemdevelopment/aegis/ui/views/TotpProgressBar.java'],[108]
