Bug Report ID,#Files (.java),Ranks,Ranked Buggy Files,Ranks (Unsorted)
1096,194,[],[],[]
1146,46,[],[],[]
1147,17,[],[],[]
1151,18,[],[],[]
1223,176,[],[],[]
1645,21,[4],['bug-1645/app/src/main/java/com/german_software_engineers/trainerapp/ExerciseDialog.java'],[4]
106,212,"[127, 130]","['bug-106/app/src/main/java/com/poupa/vinylmusicplayer/loader/SongLoader.java', 'bug-106/app/src/main/java/com/poupa/vinylmusicplayer/util/FileUtil.java']","[127, 130]"
110,221,[],[],[]
168,785,[183],['bug-168/main/src/cgeo/geocaching/maps/MapProviderFactory.java'],[183]
271,121,[109],['bug-271/app/src/main/java/com/beemdevelopment/aegis/ui/views/TotpProgressBar.java'],[109]
