Bug Report ID,#Files (.java),Ranks,Ranked Buggy Files,Ranks (Unsorted)
1096,144,[],[],[]
1146,32,[],[],[]
1147,12,[3],['bug-1147/GPSTest/src/main/java/com/android/gpstest/NavigationDrawerFragment.java'],[3]
1151,11,[3],['bug-1151/GPSTest/src/main/java/com/android/gpstest/GpsTestActivity.java'],[3]
1223,87,[],[],[]
1645,10,[1],['bug-1645/app/src/main/java/com/german_software_engineers/trainerapp/ExerciseDialog.java'],[1]
106,173,"[109, 112]","['bug-106/app/src/main/java/com/poupa/vinylmusicplayer/loader/SongLoader.java', 'bug-106/app/src/main/java/com/poupa/vinylmusicplayer/util/FileUtil.java']","[109, 112]"
110,177,[6],['bug-110/app/src/main/java/com/poupa/vinylmusicplayer/provider/Discography.java'],[6]
168,364,[79],['bug-168/main/src/cgeo/geocaching/maps/MapProviderFactory.java'],[79]
271,51,[48],['bug-271/app/src/main/java/com/beemdevelopment/aegis/ui/views/TotpProgressBar.java'],[48]
