Bug Report ID,#Files (.java),Ranks,Ranked Buggy Files,Ranks (Unsorted)
1096,194,[],[],[]
1146,46,[],[],[]
1147,16,[1],['bug-1147/GPSTest/src/main/java/com/android/gpstest/NavigationDrawerFragment.java'],[1]
1151,16,[],[],[]
1223,173,[],[],[]
1645,21,[1],['bug-1645/app/src/main/java/com/german_software_engineers/trainerapp/ExerciseDialog.java'],[1]
106,212,"[131, 192]","['bug-106/app/src/main/java/com/poupa/vinylmusicplayer/loader/SongLoader.java', 'bug-106/app/src/main/java/com/poupa/vinylmusicplayer/util/FileUtil.java']","[131, 192]"
110,221,[40],['bug-110/app/src/main/java/com/poupa/vinylmusicplayer/provider/Discography.java'],[40]
168,785,[93],['bug-168/main/src/cgeo/geocaching/maps/MapProviderFactory.java'],[93]
271,121,[20],['bug-271/app/src/main/java/com/beemdevelopment/aegis/ui/views/TotpProgressBar.java'],[20]
