Bug Report ID,#Files (.java),Ranks,Ranked Buggy Files,Ranks (Unsorted)
2,1,[],[],[]
8,0,[],[],[]
10,0,[],[],[]
18,0,[],[],[]
19,0,[],[],[]
44,0,[],[],[]
53,1,[],[],[]
71,0,[],[],[]
117,0,[],[],[]
128,0,[],[],[]
129,0,[],[],[]
130,0,[],[],[]
135,0,[],[],[]
191,0,[],[],[]
201,0,[],[],[]
206,0,[],[],[]
209,0,[],[],[]
256,0,[],[],[]
1073,0,[],[],[]
1096,0,[],[],[]
1146,0,[],[],[]
1147,0,[],[],[]
1151,0,[],[],[]
1202,0,[],[],[]
1205,0,[],[],[]
1207,0,[],[],[]
1214,0,[],[],[]
1215,0,[],[],[]
1223,0,[],[],[]
1224,0,[],[],[]
1299,0,[],[],[]
1399,0,[],[],[]
1406,0,[],[],[]
1430,0,[],[],[]
1441,0,[],[],[]
1445,0,[],[],[]
1481,0,[],[],[]
1645,0,[],[],[]
45,0,[],[],[]
54,1,[],[],[]
76,0,[],[],[]
92,0,[],[],[]
101,0,[],[],[]
106,0,[],[],[]
110,0,[],[],[]
158,0,[],[],[]
160,0,[],[],[]
162,0,[],[],[]
168,0,[],[],[]
192,0,[],[],[]
199,0,[],[],[]
200,0,[],[],[]
248,0,[],[],[]
1150,0,[],[],[]
1198,0,[],[],[]
1228,0,[],[],[]
1389,0,[],[],[]
1425,0,[],[],[]
1446,0,[],[],[]
1563,0,[],[],[]
1568,0,[],[],[]
1641,0,[],[],[]
