Bug Report ID,#Files (.java),Ranks,Ranked Buggy Files,Ranks (Unsorted)
2,2,[],[],[]
8,1,[1],['bug-8/app/src/main/java/de/koelle/christian/trickytripper/TrickyTripperActivity.java'],[1]
10,4,[],[],[]
18,3,[1],['bug-18/Calendula/src/main/java/es/usc/citius/servando/calendula/fragments/MedicineCreateOrEditFragment.java'],[1]
19,2,[1],['bug-19/app/src/main/java/de/westnordost/streetcomplete/quests/housenumber/AddHousenumberForm.java'],[1]
44,2,[],[],[]
53,5,[4],['bug-53/app/src/main/java/net/gsantner/markor/ui/NewFileDialog.java'],[4]
71,2,[],[],[]
117,3,[1],['bug-117/app/src/main/java/openfoodfacts/github/scrachx/openfood/views/product/nutrition/NutritionProductFragment.java'],[1]
128,1,[1],['bug-128/app/src/main/java/org/shadowice/flocke/andotp/Activities/SettingsActivity.java'],[1]
129,1,[],[],[]
130,1,[1],['bug-130/app/src/main/java/org/shadowice/flocke/andotp/Activities/IntroScreenActivity.java'],[1]
135,4,[1],['bug-135/app/src/main/java/fr/free/nrw/commons/category/SubCategoryListFragment.java'],[1]
191,1,[],[],[]
201,2,[2],['bug-201/iNaturalist/src/main/java/org/inaturalist/android/ObservationListActivity.java'],[2]
206,4,[1],['bug-206/app/src/main/java/org/gnucash/android/ui/settings/BookManagerFragment.java'],[1]
209,2,[],[],[]
256,3,[],[],[]
1073,2,[],[],[]
1096,1,[1],['bug-1096/iNaturalist/src/main/java/org/inaturalist/android/RecordSoundActivity.java'],[1]
1146,2,[2],['bug-1146/GPSTest/src/main/java/com/android/gpstest/GpsStatusFragment.java'],[2]
1147,2,[],[],[]
1151,1,[1],['bug-1151/GPSTest/src/main/java/com/android/gpstest/Preferences.java'],[1]
1202,1,[1],['bug-1202/app/src/main/java/swati4star/createpdf/activity/ImageEditor.java'],[1]
1205,3,"[2, 3]","['bug-1205/app/src/main/java/swati4star/createpdf/activity/MainActivity.java', 'bug-1205/app/src/main/java/swati4star/createpdf/fragment/MergeFilesFragment.java']","[2, 3]"
1207,1,[],[],[]
1214,0,[],[],[]
1215,0,[],[],[]
1223,3,[1],['bug-1223/app/src/main/java/org/gnucash/android/ui/transaction/TransactionFormFragment.java'],[1]
1224,5,[2],['bug-1224/app/src/main/java/org/gnucash/android/ui/account/AccountFormFragment.java'],[2]
1299,2,[2],['bug-1299/app/src/main/java/com/fieldbook/tracker/activities/ConfigActivity.java'],[2]
1399,1,[1],['bug-1399/app/src/main/java/org/fossasia/phimpme/gallery/activities/SettingsActivity.java'],[1]
1406,3,[3],['bug-1406/app/src/main/java/org/fossasia/phimpme/gallery/activities/SingleMediaActivity.java'],[3]
1430,2,[],[],[]
1441,2,[],[],[]
1445,2,[],[],[]
1481,3,[2],['bug-1481/app/src/main/java/com/hexforhn/hex/StoryActivity.java'],[2]
1645,0,[],[],[]
45,2,[],[],[]
54,4,[],[],[]
76,1,[],[],[]
92,1,[],[],[]
101,3,[1],['bug-101/OpenStreetMapViewer/src/main/java/org/osmdroid/PreferenceActivity.java'],[1]
106,1,[],[],[]
110,0,[],[],[]
158,3,[],[],[]
160,0,[],[],[]
162,1,[1],['bug-162/k9mail/src/main/java/com/fsck/k9/activity/setup/AccountSetupBasics.java'],[1]
168,0,[],[],[]
192,2,[2],['bug-192/app/src/main/java/net/gsantner/markor/activity/DocumentEditFragment.java'],[2]
199,2,[2],['bug-199/iNaturalist/src/main/java/org/inaturalist/android/ObservationListActivity.java'],[2]
200,2,[2],['bug-200/iNaturalist/src/main/java/org/inaturalist/android/ObservationListActivity.java'],[2]
248,2,[],[],[]
1150,3,[2],['bug-1150/GPSTest/src/main/java/com/android/gpstest/HelpActivity.java'],[2]
1198,2,[],[],[]
1228,4,[3],['bug-1228/app/src/main/java/org/gnucash/android/ui/transaction/TransactionDetailActivity.java'],[3]
1389,2,[],[],[]
1425,1,[],[],[]
1446,2,[],[],[]
1563,1,[1],['bug-1563/app/src/main/java/io/lerk/lrkFM/activities/FileActivity.java'],[1]
1568,0,[],[],[]
1641,0,[],[],[]
