Bug Report ID,#Files (.java),Ranks,Ranked Buggy Files,Ranks (Unsorted)
2,187,"[5, 16]","['bug-2/app/src/main/java/io/github/zwieback/familyfinance/business/chart/fragment/HorizontalBarChartFragment.java', 'bug-2/app/src/main/java/io/github/zwieback/familyfinance/business/chart/fragment/PieChartFragment.java']","[5, 16]"
8,74,[1],['bug-8/app/src/main/java/de/koelle/christian/trickytripper/TrickyTripperActivity.java'],[1]
10,211,"[41, 106, 182]","['bug-10/app/src/main/java/me/zhanghai/android/files/ftpserver/FtpServerService.java', 'bug-10/app/src/main/java/me/zhanghai/android/files/ftpserver/FtpServerStatePreference.java', 'bug-10/app/src/main/java/me/zhanghai/android/files/ftpserver/FtpServerReceiver.java']","[41, 106, 182]"
18,125,"[29, 32]","['bug-18/Calendula/src/main/java/es/usc/citius/servando/calendula/fragments/RoutineCreateOrEditFragment.java', 'bug-18/Calendula/src/main/java/es/usc/citius/servando/calendula/fragments/ScheduleTimetableFragment.java']","[29, 32]"
19,240,[],[],[]
44,103,[74],['bug-44/omniNotes/src/main/java/it/feio/android/omninotes/utils/TagsHelper.java'],[74]
53,77,[26],['bug-53/app/src/main/java/net/gsantner/markor/ui/NewFileDialog.java'],[26]
71,88,[9],['bug-71/app/src/main/java/fr/neamar/kiss/forwarder/ExperienceTweaks.java'],[9]
117,82,[2],['bug-117/app/src/main/java/openfoodfacts/github/scrachx/openfood/views/product/nutrition/NutritionProductFragment.java'],[2]
128,36,"[1, 3, 27]","['bug-128/app/src/main/java/org/shadowice/flocke/andotp/Activities/MainActivity.java', 'bug-128/app/src/main/java/org/shadowice/flocke/andotp/Activities/SettingsActivity.java', 'bug-128/app/src/main/java/org/shadowice/flocke/andotp/Utilities/Settings.java']","[1, 3, 27]"
129,37,[],[],[]
130,34,[1],['bug-130/app/src/main/java/org/shadowice/flocke/andotp/Activities/IntroScreenActivity.java'],[1]
135,126,"[7, 13]","['bug-135/app/src/main/java/fr/free/nrw/commons/category/SubCategoryListFragment.java', 'bug-135/app/src/main/java/fr/free/nrw/commons/explore/categories/SearchCategoryFragment.java']","[7, 13]"
191,12,[2],['bug-191/app/src/main/java/ch/logixisland/anuto/view/game/TowerView.java'],[2]
201,127,[],[],[]
206,70,[],[],[]
209,88,[20],['bug-209/app/src/main/java/org/gnucash/android/ui/util/widget/CalculatorEditText.java'],[20]
256,58,[],[],[]
1073,116,[50],['bug-1073/app/src/main/java/org/mozilla/focus/browser/LocalizedContent.java'],[50]
1096,145,[83],['bug-1096/iNaturalist/src/main/java/org/inaturalist/android/RecordSoundActivity.java'],[83]
1146,24,[7],['bug-1146/GPSTest/src/main/java/com/android/gpstest/GpsStatusFragment.java'],[7]
1147,10,[],[],[]
1151,12,"[1, 4]","['bug-1151/GPSTest/src/main/java/com/android/gpstest/GpsTestActivity.java', 'bug-1151/GPSTest/src/main/java/com/android/gpstest/Preferences.java']","[1, 4]"
1202,32,[],[],[]
1205,58,[6],['bug-1205/app/src/main/java/swati4star/createpdf/activity/MainActivity.java'],[6]
1207,26,[],[],[]
1214,35,[1],['bug-1214/app/src/main/java/org/shadowice/flocke/andotp/Activities/IntroScreenActivity.java'],[1]
1215,33,[],[],[]
1223,81,[],[],[]
1224,88,[],[],[]
1299,53,[20],['bug-1299/app/src/main/java/com/fieldbook/tracker/activities/ConfigActivity.java'],[20]
1399,130,[],[],[]
1406,126,[],[],[]
1430,64,[8],['bug-1430/app/src/main/java/com/easyfitness/programs/ProgramRunnerFragment.java'],[8]
1441,87,[6],['bug-1441/android/app/src/main/java/com/cohenadair/anglerslog/locations/ManageFishingSpotFragment.java'],[6]
1445,91,[71],['bug-1445/android/app/src/main/java/com/cohenadair/anglerslog/model/Logbook.java'],[71]
1481,13,[2],['bug-1481/app/src/main/java/com/hexforhn/hex/StoryActivity.java'],[2]
1645,6,[4],['bug-1645/app/src/main/java/com/german_software_engineers/trainerapp/ExerciseDialog.java'],[4]
45,102,[],[],[]
54,52,[13],['bug-54/app/src/main/java/net/gsantner/markor/util/AppSettings.java'],[13]
76,112,[12],['bug-76/app/src/main/java/com/genonbeta/TrebleShot/fragment/FileListFragment.java'],[12]
92,96,[64],['bug-92/app/src/main/java/com/vrem/wifianalyzer/vendor/model/VendorDB.java'],[64]
101,117,[7],['bug-101/OpenStreetMapViewer/src/main/java/org/osmdroid/intro/StoragePreferenceFragment.java'],[7]
106,116,"[57, 75]","['bug-106/app/src/main/java/com/poupa/vinylmusicplayer/loader/SongLoader.java', 'bug-106/app/src/main/java/com/poupa/vinylmusicplayer/util/FileUtil.java']","[57, 75]"
110,128,[89],['bug-110/app/src/main/java/com/poupa/vinylmusicplayer/provider/Discography.java'],[89]
158,153,"[3, 110]","['bug-158/AnkiDroid/src/main/java/com/ichi2/anki/AbstractFlashcardViewer.java', 'bug-158/AnkiDroid/src/main/java/com/ichi2/themes/Themes.java']","[3, 110]"
160,174,[],[],[]
162,422,[],[],[]
168,252,[],[],[]
192,36,[],[],[]
199,127,[1],['bug-199/iNaturalist/src/main/java/org/inaturalist/android/ObservationListActivity.java'],[1]
200,108,[1],['bug-200/iNaturalist/src/main/java/org/inaturalist/android/ObservationListActivity.java'],[1]
248,192,[21],['bug-248/collect_app/src/main/java/org/odk/collect/android/preferences/GeneralPreferencesFragment.java'],[21]
1150,21,[1],['bug-1150/GPSTest/src/main/java/com/android/gpstest/HelpActivity.java'],[1]
1198,5,[3],['bug-1198/app/src/main/java/swati4star/createpdf/adapter/ViewFilesAdapter.java'],[3]
1228,82,[1],['bug-1228/app/src/main/java/org/gnucash/android/ui/transaction/TransactionDetailActivity.java'],[1]
1389,16,"[2, 9, 12]","['bug-1389/app/src/main/java/org/y20k/transistor/PlayerActivityFragment.java', 'bug-1389/app/src/main/java/org/y20k/transistor/helpers/StationFetcher.java', 'bug-1389/app/src/main/java/org/y20k/transistor/core/Station.java']","[2, 9, 12]"
1425,65,"[1, 52]","['bug-1425/app/src/main/java/com/easyfitness/WeightFragment.java', 'bug-1425/app/src/main/java/com/easyfitness/DAO/bodymeasures/DAOBodyMeasure.java']","[1, 52]"
1446,87,[8],['bug-1446/AnglersLog/app/src/main/java/com/cohenadair/anglerslog/locations/ManageLocationFragment.java'],[8]
1563,11,[],[],[]
1568,15,[],[],[]
1641,13,[],[],[]
