Bug Report ID,#Files (.java),Ranks,Ranked Buggy Files,Ranks (Unsorted)
1096,195,[],[],[]
1146,47,[],[],[]
1147,19,[],[],[]
1151,19,[],[],[]
1223,177,[],[],[]
1645,21,[3],['bug-1645/app/src/main/java/com/german_software_engineers/trainerapp/ExerciseDialog.java'],[3]
106,143,[64],['bug-106/app/src/main/java/com/poupa/vinylmusicplayer/util/FileUtil.java'],[64]
110,221,[],[],[]
168,600,[],[],[]
271,120,[75],['bug-271/app/src/main/java/com/beemdevelopment/aegis/ui/views/TotpProgressBar.java'],[75]
