Bug Report ID,#Files (.java),Ranks,Ranked Buggy Files,Ranks (Unsorted)
1096,145,[],[],[]
1146,33,[],[],[]
1147,14,[],[],[]
1151,12,[],[],[]
1223,89,[],[],[]
1645,10,[3],['bug-1645/app/src/main/java/com/german_software_engineers/trainerapp/ExerciseDialog.java'],[3]
106,104,[55],['bug-106/app/src/main/java/com/poupa/vinylmusicplayer/util/FileUtil.java'],[55]
110,177,[],[],[]
168,179,[],[],[]
271,50,[36],['bug-271/app/src/main/java/com/beemdevelopment/aegis/ui/views/TotpProgressBar.java'],[36]
