Bug Report ID,#Files (.java),Ranks,Ranked Buggy Files,Ranks (Unsorted)
1096,144,[],[],[]
1146,32,[],[],[]
1147,12,[1],['bug-1147/GPSTest/src/main/java/com/android/gpstest/NavigationDrawerFragment.java'],[1]
1151,11,[1],['bug-1151/GPSTest/src/main/java/com/android/gpstest/GpsTestActivity.java'],[1]
1223,87,[],[],[]
1645,10,[1],['bug-1645/app/src/main/java/com/german_software_engineers/trainerapp/ExerciseDialog.java'],[1]
106,173,"[111, 137]","['bug-106/app/src/main/java/com/poupa/vinylmusicplayer/loader/SongLoader.java', 'bug-106/app/src/main/java/com/poupa/vinylmusicplayer/util/FileUtil.java']","[111, 137]"
110,177,[2],['bug-110/app/src/main/java/com/poupa/vinylmusicplayer/provider/Discography.java'],[2]
168,364,[5],['bug-168/main/src/cgeo/geocaching/maps/MapProviderFactory.java'],[5]
271,51,[16],['bug-271/app/src/main/java/com/beemdevelopment/aegis/ui/views/TotpProgressBar.java'],[16]
