Bug Report ID,#Files (.java),Ranks,Ranked Buggy Files,Ranks (Unsorted)
1096,145,[5],['bug-1096/iNaturalist/src/main/java/org/inaturalist/android/RecordSoundActivity.java'],[5]
1146,33,[2],['bug-1146/GPSTest/src/main/java/com/android/gpstest/GpsStatusFragment.java'],[2]
1147,13,[],[],[]
1151,12,"[1, 2]","['bug-1151/GPSTest/src/main/java/com/android/gpstest/Preferences.java', 'bug-1151/GPSTest/src/main/java/com/android/gpstest/GpsTestActivity.java']","[1, 2]"
1223,89,[],[],[]
1645,9,[],[],[]
106,104,[68],['bug-106/app/src/main/java/com/poupa/vinylmusicplayer/util/FileUtil.java'],[68]
110,34,[],[],[]
168,179,[],[],[]
271,50,[16],['bug-271/app/src/main/java/com/beemdevelopment/aegis/ui/views/TotpProgressBar.java'],[16]
