Bug Report ID,#Files (.java),Ranks,Ranked Buggy Files,Ranks (Unsorted)
2,0,[],[],[]
8,9,[],[],[]
10,29,[],[],[]
18,1,[1],['bug-18/Calendula/src/main/java/es/usc/citius/servando/calendula/fragments/MedicineCreateOrEditFragment.java'],[1]
19,1,[1],['bug-19/app/src/main/java/de/westnordost/streetcomplete/quests/housenumber/AddHousenumberForm.java'],[1]
44,1,[],[],[]
53,1,[],[],[]
71,0,[],[],[]
117,0,[],[],[]
128,0,[],[],[]
129,0,[],[],[]
130,0,[],[],[]
135,0,[],[],[]
191,0,[],[],[]
201,1,[1],['bug-201/iNaturalist/src/main/java/org/inaturalist/android/ObservationListActivity.java'],[1]
206,46,[7],['bug-206/app/src/main/java/org/gnucash/android/ui/settings/BookManagerFragment.java'],[7]
209,3,[],[],[]
256,46,[14],['bug-256/app/src/main/java/org/gnucash/android/ui/account/AccountsListFragment.java'],[14]
1073,0,[],[],[]
1096,0,[],[],[]
1146,0,[],[],[]
1147,0,[],[],[]
1151,0,[],[],[]
1202,1,[1],['bug-1202/app/src/main/java/swati4star/createpdf/activity/ImageEditor.java'],[1]
1205,0,[],[],[]
1207,0,[],[],[]
1214,0,[],[],[]
1215,0,[],[],[]
1223,2,[],[],[]
1224,10,[1],['bug-1224/app/src/main/java/org/gnucash/android/ui/account/AccountFormFragment.java'],[1]
1299,1,[],[],[]
1399,1,[1],['bug-1399/app/src/main/java/org/fossasia/phimpme/gallery/activities/SettingsActivity.java'],[1]
1406,1,[1],['bug-1406/app/src/main/java/org/fossasia/phimpme/gallery/activities/SingleMediaActivity.java'],[1]
1430,1,[],[],[]
1441,2,[],[],[]
1445,3,[],[],[]
1481,0,[],[],[]
1645,6,[],[],[]
45,14,[5],['bug-45/omniNotes/src/main/java/it.feio.android.omninotes.helpers/GeocodeProviderBaseFactory.java'],[5]
54,0,[],[],[]
76,0,[],[],[]
92,0,[],[],[]
101,1,[1],['bug-101/OpenStreetMapViewer/src/main/java/org/osmdroid/PreferenceActivity.java'],[1]
106,16,[],[],[]
110,0,[],[],[]
158,0,[],[],[]
160,0,[],[],[]
162,1,[1],['bug-162/k9mail/src/main/java/com/fsck/k9/activity/setup/AccountSetupBasics.java'],[1]
168,0,[],[],[]
192,19,[],[],[]
199,3,[],[],[]
200,2,[],[],[]
248,46,[],[],[]
1150,0,[],[],[]
1198,0,[],[],[]
1228,9,[],[],[]
1389,0,[],[],[]
1425,2,[],[],[]
1446,2,[],[],[]
1563,6,[3],['bug-1563/app/src/main/java/io/lerk/lrkFM/activities/FileActivity.java'],[3]
1568,1,[1],['bug-1568/app/src/main/java/io/lerk/lrkFM/adapter/FileArrayAdapter.java'],[1]
1641,5,"[3, 5]","['bug-1641/app/src/main/java/com/german_software_engineers/trainerapp/ExerciseViewActivity.java', 'bug-1641/app/src/main/java/com/german_software_engineers/trainerapp/GeneralTrainingScheduleEditor.java']","[3, 5]"
