Bug Report ID,#Files (.java),Ranks,Ranked Buggy Files,Ranks (Unsorted)
2,2,[],[],[]
8,10,[5],['bug-8/app/src/main/java/de/koelle/christian/trickytripper/TrickyTripperActivity.java'],[5]
10,44,[],[],[]
18,4,[1],['bug-18/Calendula/src/main/java/es/usc/citius/servando/calendula/fragments/MedicineCreateOrEditFragment.java'],[1]
19,2,[1],['bug-19/app/src/main/java/de/westnordost/streetcomplete/quests/housenumber/AddHousenumberForm.java'],[1]
44,3,[],[],[]
53,31,[3],['bug-53/app/src/main/java/net/gsantner/markor/ui/NewFileDialog.java'],[3]
71,2,[],[],[]
117,7,[3],['bug-117/app/src/main/java/openfoodfacts/github/scrachx/openfood/views/product/nutrition/NutritionProductFragment.java'],[3]
128,1,[1],['bug-128/app/src/main/java/org/shadowice/flocke/andotp/Activities/SettingsActivity.java'],[1]
129,2,[2],['bug-129/app/src/main/java/org/shadowice/flocke/andotp/Dialogs/ManualEntryDialog.java'],[2]
130,1,[1],['bug-130/app/src/main/java/org/shadowice/flocke/andotp/Activities/IntroScreenActivity.java'],[1]
135,5,[4],['bug-135/app/src/main/java/fr/free/nrw/commons/category/SubCategoryListFragment.java'],[4]
191,1,[],[],[]
201,3,[1],['bug-201/iNaturalist/src/main/java/org/inaturalist/android/ObservationListActivity.java'],[1]
206,46,[7],['bug-206/app/src/main/java/org/gnucash/android/ui/settings/BookManagerFragment.java'],[7]
209,4,[],[],[]
256,47,[9],['bug-256/app/src/main/java/org/gnucash/android/ui/account/AccountsListFragment.java'],[9]
1073,2,[],[],[]
1096,1,[1],['bug-1096/iNaturalist/src/main/java/org/inaturalist/android/RecordSoundActivity.java'],[1]
1146,2,[1],['bug-1146/GPSTest/src/main/java/com/android/gpstest/GpsStatusFragment.java'],[1]
1147,4,[1],['bug-1147/GPSTest/src/main/java/com/android/gpstest/NavigationDrawerFragment.java'],[1]
1151,3,"[1, 2]","['bug-1151/GPSTest/src/main/java/com/android/gpstest/Preferences.java', 'bug-1151/GPSTest/src/main/java/com/android/gpstest/GpsTestActivity.java']","[1, 2]"
1202,1,[1],['bug-1202/app/src/main/java/swati4star/createpdf/activity/ImageEditor.java'],[1]
1205,13,"[1, 2, 4, 5, 7, 8, 9, 11]","['bug-1205/app/src/main/java/swati4star/createpdf/fragment/InvertPdfFragment.java', 'bug-1205/app/src/main/java/swati4star/createpdf/fragment/RemoveDuplicatePagesFragment.java', 'bug-1205/app/src/main/java/swati4star/createpdf/activity/MainActivity.java', 'bug-1205/app/src/main/java/swati4star/createpdf/fragment/RemovePagesFragment.java', 'bug-1205/app/src/main/java/swati4star/createpdf/fragment/SplitFilesFragment.java', 'bug-1205/app/src/main/java/swati4star/createpdf/fragment/PdfToImageFragment.java', 'bug-1205/app/src/main/java/swati4star/createpdf/fragment/MergeFilesFragment.java', 'bug-1205/app/src/main/java/swati4star/createpdf/fragment/AddImagesFragment.java']","[1, 2, 4, 5, 7, 8, 9, 11]"
1207,2,[2],['bug-1207/app/src/main/java/org/shadowice/flocke/andotp/View/ManualEntryDialog.java'],[2]
1214,0,[],[],[]
1215,1,[1],['bug-1215/app/src/main/java/org/shadowice/flocke/andotp/Dialogs/ManualEntryDialog.java'],[1]
1223,11,[4],['bug-1223/app/src/main/java/org/gnucash/android/ui/transaction/TransactionFormFragment.java'],[4]
1224,15,[2],['bug-1224/app/src/main/java/org/gnucash/android/ui/account/AccountFormFragment.java'],[2]
1299,5,[2],['bug-1299/app/src/main/java/com/fieldbook/tracker/activities/ConfigActivity.java'],[2]
1399,1,[1],['bug-1399/app/src/main/java/org/fossasia/phimpme/gallery/activities/SettingsActivity.java'],[1]
1406,4,[2],['bug-1406/app/src/main/java/org/fossasia/phimpme/gallery/activities/SingleMediaActivity.java'],[2]
1430,4,[3],['bug-1430/app/src/main/java/com/easyfitness/programs/ProgramPagerFragment.java'],[3]
1441,6,[],[],[]
1445,4,[],[],[]
1481,3,[2],['bug-1481/app/src/main/java/com/hexforhn/hex/StoryActivity.java'],[2]
1645,6,[],[],[]
45,17,[5],['bug-45/omniNotes/src/main/java/it.feio.android.omninotes.helpers/GeocodeProviderBaseFactory.java'],[5]
54,4,[],[],[]
76,10,[2],['bug-76/app/src/main/java/com/genonbeta/TrebleShot/adapter/FileListAdapter.java'],[2]
92,1,[],[],[]
101,5,[2],['bug-101/OpenStreetMapViewer/src/main/java/org/osmdroid/PreferenceActivity.java'],[2]
106,16,[],[],[]
110,0,[],[],[]
158,5,[],[],[]
160,5,[1],['bug-160/AnkiDroid/src/main/java/com/ichi2/anki/Reviewer.java'],[1]
162,3,[1],['bug-162/k9mail/src/main/java/com/fsck/k9/activity/setup/AccountSetupBasics.java'],[1]
168,0,[],[],[]
192,20,[10],['bug-192/app/src/main/java/net/gsantner/markor/activity/DocumentEditFragment.java'],[10]
199,4,[1],['bug-199/iNaturalist/src/main/java/org/inaturalist/android/ObservationListActivity.java'],[1]
200,4,[3],['bug-200/iNaturalist/src/main/java/org/inaturalist/android/ObservationListActivity.java'],[3]
248,49,[],[],[]
1150,3,[2],['bug-1150/GPSTest/src/main/java/com/android/gpstest/HelpActivity.java'],[2]
1198,2,[],[],[]
1228,11,[3],['bug-1228/app/src/main/java/org/gnucash/android/ui/transaction/TransactionDetailActivity.java'],[3]
1389,2,[],[],[]
1425,6,[],[],[]
1446,5,[],[],[]
1563,6,[2],['bug-1563/app/src/main/java/io/lerk/lrkFM/activities/FileActivity.java'],[2]
1568,1,[1],['bug-1568/app/src/main/java/io/lerk/lrkFM/adapter/FileArrayAdapter.java'],[1]
1641,6,"[4, 5, 6]","['bug-1641/app/src/main/java/com/german_software_engineers/trainerapp/GeneralTrainingScheduleEditor.java', 'bug-1641/app/src/main/java/com/german_software_engineers/trainerapp/ExerciseViewActivity.java', 'bug-1641/trainerappmodel/src/main/java/com/german_software_engineers/trainerappmodel/Model/XMLParser.java']","[4, 5, 6]"
