Bug Report ID,#Files (.java),Ranks,Ranked Buggy Files,Ranks (Unsorted)
2,0,[],[],[]
8,0,[],[],[]
10,1,[],[],[]
18,2,[1],['bug-18/Calendula/src/main/java/es/usc/citius/servando/calendula/fragments/MedicineCreateOrEditFragment.java'],[1]
19,1,[1],['bug-19/app/src/main/java/de/westnordost/streetcomplete/quests/housenumber/AddHousenumberForm.java'],[1]
44,0,[],[],[]
53,4,[4],['bug-53/app/src/main/java/net/gsantner/markor/ui/NewFileDialog.java'],[4]
71,0,[],[],[]
117,0,[],[],[]
128,0,[],[],[]
129,0,[],[],[]
130,0,[],[],[]
135,0,[],[],[]
191,0,[],[],[]
201,2,[1],['bug-201/iNaturalist/src/main/java/org/inaturalist/android/ObservationListActivity.java'],[1]
206,4,[3],['bug-206/app/src/main/java/org/gnucash/android/ui/settings/BookManagerFragment.java'],[3]
209,1,[],[],[]
256,3,[3],['bug-256/app/src/main/java/org/gnucash/android/ui/account/AccountsListFragment.java'],[3]
1073,0,[],[],[]
1096,0,[],[],[]
1146,0,[],[],[]
1147,0,[],[],[]
1151,0,[],[],[]
1202,1,[1],['bug-1202/app/src/main/java/swati4star/createpdf/activity/ImageEditor.java'],[1]
1205,2,[2],['bug-1205/app/src/main/java/swati4star/createpdf/fragment/MergeFilesFragment.java'],[2]
1207,0,[],[],[]
1214,0,[],[],[]
1215,0,[],[],[]
1223,3,[2],['bug-1223/app/src/main/java/org/gnucash/android/ui/transaction/TransactionFormFragment.java'],[2]
1224,1,[1],['bug-1224/app/src/main/java/org/gnucash/android/ui/account/AccountFormFragment.java'],[1]
1299,0,[],[],[]
1399,1,[1],['bug-1399/app/src/main/java/org/fossasia/phimpme/gallery/activities/SettingsActivity.java'],[1]
1406,1,[1],['bug-1406/app/src/main/java/org/fossasia/phimpme/gallery/activities/SingleMediaActivity.java'],[1]
1430,0,[],[],[]
1441,0,[],[],[]
1445,1,[],[],[]
1481,0,[],[],[]
1645,0,[],[],[]
45,1,[],[],[]
54,1,[],[],[]
76,1,[],[],[]
92,0,[],[],[]
101,2,[1],['bug-101/OpenStreetMapViewer/src/main/java/org/osmdroid/PreferenceActivity.java'],[1]
106,1,[],[],[]
110,0,[],[],[]
158,1,[],[],[]
160,0,[],[],[]
162,1,[1],['bug-162/k9mail/src/main/java/com/fsck/k9/activity/setup/AccountSetupBasics.java'],[1]
168,0,[],[],[]
192,2,[2],['bug-192/app/src/main/java/net/gsantner/markor/activity/DocumentEditFragment.java'],[2]
199,1,[],[],[]
200,2,[1],['bug-200/iNaturalist/src/main/java/org/inaturalist/android/ObservationListActivity.java'],[1]
248,0,[],[],[]
1150,0,[],[],[]
1198,0,[],[],[]
1228,2,[],[],[]
1389,1,[],[],[]
1425,0,[],[],[]
1446,1,[],[],[]
1563,1,[1],['bug-1563/app/src/main/java/io/lerk/lrkFM/activities/FileActivity.java'],[1]
1568,0,[],[],[]
1641,0,[],[],[]
